english,malayalam
where T and denote the tension and the line density of the material of the string.,സ്ട്രിംഗിന്റെ പദാർത്ഥങ്ങളുടെ പിരിമുറുക്കവും വരിയുടെ സാന്ദ്രതയും സൂചിപ്പിക്കുന്ന ടി .
where T is the kinetic energy of the particle.,കണികയുടെ ജനിതക ഊർജ്ജം എവിടെയാണ് .
"which is Hamilton’s principle.This states that the motion is such that the integral of the difference between the kinetic and potential energies is stationary for the actual path.The difference T-V is known as the Lagrangian function.It can be shown further that this integral is a minimum for the true path, as compared with any neighbouring path having the same terminal configurations, at least over a sufficiently short time interval.","അതാണ്‌ ഹാമിൽട്ടന്‍റെ തത്ത്വം.കൈനറ്റിക് , സാധ്യതയുള്ള ഊർജ്ജങ്ങൾ തമ്മിലുള്ള വ്യത്യാസത്തിന്റെ അവിഭാജ്യ ഘടകമാണ് ചലനം എന്ന് ഇത് പറയുന്നു.ലഗ്രാഞ്ചിയൻ ഫംഗ്ഷൻ എന്നറിയപ്പെടുന്നു.ഒരേ ടെർമിനൽ ക്രമീകരണങ്ങളുള്ള ഏതെങ്കിലും അയൽ പാതയുമായി താരതമ്യപ്പെടുത്തുമ്പോൾ , ഇത് യഥാർത്ഥ പാതയുടെ ഏറ്റവും കുറഞ്ഞത് ആണെന്ന് കാണിക്കാം ."
then is a polynominal of nth degree.,തുടർന്ന് nth ബിരുദം .
Module II- Some Application to Problems of Mechanics,മെക്കാനിക്കിന്റെ പ്രശ്നങ്ങള്‍ക്കു് മൊഡ്യൂള്‍ ii ചില പ്രയോഗങ്ങള്‍
"which is the governing equation for displacement u(x, t).","ഇതാണ് സ്ഥാനക്കയറ്റത്തിന് യു (x, t) ."
"By topological methods in variational problems, one can show that on any smooth closed surface, there are at least three closed geodesic lines.For example, an ellipsoid has three symmetry planes, and the ellipses, along which these three planes cut the ellipsoid, are closed geodesics.","വ്യതിരിക്തമായ പ്രശ്നങ്ങളിൽ ടോപോളജിക്കൽ രീതികൾ ഉപയോഗിച്ച് , ഏത് സുഗമമായ ഉപരിതലത്തിൽ , കുറഞ്ഞത് മൂന്ന് ജിയോഡെസിക് ലൈനുകൾ ഉണ്ടെന്ന് കാണിക്കാം.ഉദാഹരണത്തിന് , ഒരു എലിപ്സോയിഡിന് മൂന്ന് സമമിതി വിമാനങ്ങളുണ്ട് , എലിപ്സോയിഡ് മുറിച്ച ഈ മൂന്ന് വിമാനങ്ങളും ജിയോഡെസിക്സുകളാണ് ."
and the total work done by the forces is .,സൈന്യം ചെയ്യുന്ന മുഴുവൻ പണിയും .
then is a constant.,പിന്നെ സ്ഥിരമാണ് .
The Weirstrassian form of Euler equation (4) is,ഇംഗ്ലീഷ് വിലാസം euler equation ( 4 )
Module IV- Theorem of du Bois-Reymond,ഡു ബോറിമോണ്ടിന്റെ മൊഡ്യൂള്‍ iv തിയോറം
We select an arbitrary function which is continuos and satisfies,സംതൃപ്തമായ ഒരു ആര്‍ബിട്രറി ഫംഗ്ഷന്‍ തെരഞ്ഞെടുക്കുന്നു
Modules,മൊഡ്യൂളുകൾ
"According to our assumption of slight extensibility, the deviations of the bar from the equilibrium position are smal1, and the term may be ignored.Now by Hamilton’s principle, the integral","ചെറിയ വിപുലീകരണത്തിന്റെ അനുമാനമനുസരിച്ച്, ഇക്ബിലിബ്രിയം സ്ഥാനത്ത് നിന്നുള്ള ബാറിന്റെ വ്യതിയാനങ്ങൾ ചെറുതാണ്, ഈ പദം അവഗണിക്കപ്പെടാം.ഇപ്പോൾ ഹാമിൽട്ടൺ തത്വത്തിൽ,"
"Take, for example,","ഉദാഹരണത്തിന്, എടുക്കുക ."
"Now consider the case when the force field having components (X, Y, Z) is conservative which implies that","ഘടകങ്ങൾ ഉള്ള ഫോഴ്സ് ഫീൽഡ് ( x , y , z ) കൺസർവേറ്റീവ് ആണോ എന്ന് ഇത് സൂചിപ്പിക്കുന്നു"
"There is an important generalization of the above equation, when the string is acted on by a uniformly distributed linear restoring force, directed towards the equilibrium position.This leads to adding a term of the form -ku (k being a positive constant) to the right hand side of the above equation.The new equation is known as the Klein-Gordon equation which, in its general form, is given by","ഈ സമവാക്യത്തിന്റെ ഒരു പ്രധാന സാമാന്യവൽക്കരണം ഉണ്ട്, ഒരേ രീതിയിൽ വിതരണം ചെയ്ത ലിനിയർ പുനഃസ്ഥാപന ശക്തി ഉപയോഗിച്ച് സ്ട്രിംഗ് പ്രവർത്തിക്കുമ്പോൾ, ഇക്വിലിബ്രിയം സ്ഥാനത്തേയ്ക്ക് നയിക്കപ്പെടുന്നു.ഇത് ഫോം കൂ (കെ) എന്ന ഒരു പോസിറ്റീവ് സ്ഥിരാങ്കം കൂട്ടിച്ചേർക്കുന്നതിന് കാരണമാകുന്നു ."
"We consider a particle of mass m moving in a force field.If the position vector of the particle with respect to a fixed origin is denoted by , then by Newton's law of motion, the path of the particle is governed by the equation",ഒരു ഫോഴ്സ് ഫീൽഡിൽ പിണ്ഡത്തിന്റെ ഒരു കണികയെ നമ്മൾ പരിഗണിക്കുന്നു.ഒരു കണികയുടെ സ്ഥാനം ഒരു നിശ്ചിത ഉത്ഭവത്തോടുള്ള ബന്ധത്തിൽ ആണെങ്കിൽ ന്യൂട്ടന്റെ ചലന നിയമമനുസരിച്ചാണ് .
"it was assumed that the admissible functions admit of continuous first order derivative.However a varitational problem with integrand F(x, y, y’) is also meaningful when y’ is required to be only piecewise continuous.","തുടർച്ചയായ ആദ്യത്തെ ഓർഡർ ഉരുത്തിരിയുന്നതാണെന്ന് അംഗീകരിക്കാവുന്ന ഫംഗ്ഷനുകൾ അംഗീകരിക്കുന്നതായി കരുതുന്നു.എന്നിരുന്നാലും , ഇന്റഗ്രിറ്റിയും f ( x , y , y ) യും തമ്മിൽ വ്യത്യസ്തമായ ഒരു പ്രശ്നമുണ്ട് ."
which is to be extremized.Here the argument function is continuous and has a piecewise continuous derivative in the entire interval .Now,"കൂട്ടംകൂട്ടമായിക്കൊണ്ട്‌.ഇവിടെ വാദം നിരന്തരമാണ് , കൂടാതെ മുഴുവൻ ഇടവേളയിലും പീസായി തുടർച്ചയായി ഡെറിവേറ്റീവ് ഉണ്ട് ."
Variational principles are of great scientific significance as they provide a unified approach to various mathematical and physical problems and yield fundamental exploratory ideas.The calculus of variations has its origin in the generalization of the elementary theory of maxima and minima of function of a single or more variables.Its object is to find extrema or stationary values of functional.,"വിവിധ ഗണിത , ഭൗതിക പ്രശ്നങ്ങൾക്ക് ഏകീകൃത സമീപനം നൽകുകയും അടിസ്ഥാന പര്യവേക്ഷണ ആശയങ്ങൾ നൽകുകയും ചെയ്യുന്നതിനാൽ വൈവിധ്യമാർന്ന തത്ത്വങ്ങൾക്ക് വലിയ ശാസ്ത്രീയ പ്രാധാന്യമുണ്ട്.മാക്സിമത്തിന്റെ പ്രാഥമിക സിദ്ധാന്തത്തിന്റെ സാമാന്യവൽക്കരണത്തിലും ഒറ്റത്തവണ അല്ലെങ്കിൽ കൂടുതൽ വേരിയബിളുകളുടെ പ്രവർത്തനത്തിന്റെ മിനിമം പ്രവർത്തനത്തിലും ഗണനയ്ക്ക് അതിന്റെ ഉത്ഭവമുണ്ട്.പ്രവർത്തനത്തിന്റെ സ്ഥിരമായ മൂല്യങ്ങൾ കണ്ടെത്തുക എന്നതാണ് ഇതിന്റെ ലക്ഷ്യം ."
"If is a piece wise continuous function in [a, b] and if","[ a , b ] ഒരു കഷ്ണം ജ്ഞാനപൂർവമായ പ്രവർത്തനം ആണെങ്കിൽ"
"There is an important generalization of the above equation, when the string is acted on by a uniformly distributed linear restoring force, directed towards the equilibrium position.This leads to adding a term of the form -ku (k being a positive constant) to the right hand side of the above equation.The new equation is known as the Klein-Gordon equation which, in its general form, is given by","ഈ സമവാക്യത്തിന്റെ ഒരു പ്രധാന സാമാന്യവൽക്കരണം ഉണ്ട് , ഒരേ രീതിയിൽ വിതരണം ചെയ്ത ലിനിയർ പുനഃസ്ഥാപന ശക്തി ഉപയോഗിച്ച് സ്ട്രിംഗ് പ്രവർത്തിക്കുമ്പോൾ , ഇക്വിലിബ്രിയം സ്ഥാനത്തേയ്ക്ക് നയിക്കപ്പെടുന്നു.ഇത് ഫോം കൂ ( കെ ) എന്ന ഒരു പോസിറ്റീവ് സ്ഥിരാങ്കം കൂട്ടിച്ചേർക്കുന്നതിന് കാരണമാകുന്നു ."
which is to be extremized.Here the argument function is continuous and has a piecewise continuous derivative in the entire interval .Now,"കൂട്ടംകൂട്ടമായിക്കൊണ്ട്‌.ഇവിടെ വാദം നിരന്തരമാണ്, കൂടാതെ മുഴുവൻ ഇടവേളയിലും പീസായി തുടർച്ചയായി ഡെറിവേറ്റീവ് ഉണ്ട് ."
"A line q is called the geodesic on a surface if at each point of q, the principal normal coincides with the normal to the surface.As an example of Hertz’s principle, we may note that a point on a spherical surface moves along a great circle if it is not acted by external forces.Similarly, a point on a cylindrical surface moves along a helix under the same circumstances.","ഒരു വരി ക്യൂ ഒരു ഉപരിതലത്തിൽ ജിയോഡെസിക് എന്ന് വിളിക്കുന്നു , ഓരോ ഘട്ടത്തിലും , പ്രധാന സാധാരണ രൂപത്തിൽ ഉപരിതലത്തിലേക്ക് പതിക്കുന്നു.ഹെർട്‌സിന്‍റെ തത്ത്വത്തിന്‍റെ ഒരു ദൃഷ്ടാന്തം അതുപോലെ , ഒരു സിലിണ്ടർ ഉപരിതലത്തിലെ ഒരു പോയിന്റ് ഒരേ സാഹചര്യത്തിൽ ഹെലിക്സിലൂടെ നീങ്ങുന്നു ."
Module IV- Theorem of du Bois-Reymond.,ഡു ബോറിമോണ്ടിന്റെ മൊഡ്യൂൾ iv തിയോറം .
Variational problems with fixed boundaries- II,നിശ്ചിത അതിർത്തികൾ തമ്മിൽ വ്യത്യാസങ്ങൾ
"By topological methods in variational problems, one can show that on any smooth closed surface, there are at least three closed geodesic lines.For example, an ellipsoid has three symmetry planes, and the ellipses, along which these three planes cut the ellipsoid, are closed geodesics.","വ്യതിരിക്തമായ പ്രശ്നങ്ങളിൽ ടോപോളജിക്കൽ രീതികൾ ഉപയോഗിച്ച്, ഏത് സുഗമമായ ഉപരിതലത്തിൽ, കുറഞ്ഞത് മൂന്ന് ജിയോഡെസിക് ലൈനുകൾ ഉണ്ടെന്ന് കാണിക്കാം.ഉദാഹരണത്തിന്, ഒരു എലിപ്സോയിഡിന് മൂന്ന് സമമിതി വിമാനങ്ങളുണ്ട്, എലിപ്സോയിഡ് മുറിച്ച ഈ മൂന്ന് വിമാനങ്ങളും ജിയോഡെസിക്സുകളാണ് ."
"If the force Field is non-conservative (e.g., a dissipative system), the potential energy function does not exist, but (10) still holds and is the work done by the force in a small displacement .The foregoing study can be easily extended to a system of N particles by summation and to a continuous system by integration.Thus for N particles, the kinetic energy is","ഫോഴ്സ് ഫീൽഡ് യാഥാസ്ഥിതികമല്ലെങ്കിൽ (ഉദാ.ഒരു ഡിസ്പൈസീവ് സിസ്റ്റം), സാധ്യമായ ഊർജ്ജ പ്രവർത്തനം നിലവിലില്ല, പക്ഷേ (10) ഇപ്പോഴും നിലനിൽക്കുന്നു.സംയോജനത്തിലൂടെ എൻ കണികകളുടെ ഒരു സിസ്റ്റത്തിലേക്ക് എളുപ്പത്തിൽ വ്യാപിപ്പിക്കാനും സംയോജിത സംയോജനത്തിലൂടെ ഒരു തുടർച്ചയായ സിസ്റ്റത്തിലേക്ക് വിപുലീകരിക്കാനും ഈ പഠനം സഹായിക്കുന്നു ."
"is the differential of a single-valued function .This function is called the force potential and its negative, say V, is the potential energy of the particle.Thus","ഏകീകരിക്കപ്പെട്ട പ്രവർത്തനത്തിന്റെ വ്യത്യാസം.ഈ പ്രവർത്തനത്തെ ശക്തി സാധ്യതയും അതിന്റെ നിഷേധവും എന്ന് വിളിക്കുന്നു, ' v ' എന്ന് പറയുക ."
We assume that the bar is slightly extensible.The potential energy of an elastic bar with a constant curvature is proportional to the square of the curvature.Thus the differential dV of the potential energy of the bar is,ബാർ അല്പം വിശാലമാണെന്ന് ഞങ്ങൾ കരുതുന്നു.സ്ഥിരമായ ഒരു വളവുള്ള ഇലാസ്റ്റിക് ബാറിന്റെ ഊർജ്ജം കർവറിലെ സ്ക്വയറിന് ആനുപാതികമാണ്.അതിനാൽ ബാറിന്റെ ഊർജ്ജത്തിന്റെ ഡിഫറൻഷ്യൽ ഡി വി ആണ് .
"k being a constant.Thus the potential energy of the entire bar, whose axis-curvature is variable, is","കെ ഒരു സ്ഥിരാംഗമായിരിക്കുക.അതിനാൽ മുഴുവൻ ബാറിന്റെയും ഊർജ്ജം, അവയുടെ അക്ഷാംശം വേരിയബിൾ ആണ് ."
"which is the governing equation for displacement u(x, t).","ഇതാണ് സ്ഥാനക്കയറ്റത്തിന് യു ( x , t ) ."
"Take, for example,","ഉദാഹരണത്തിന് , എടുക്കുക ."
Now consider any other path on the proviso that the path and the varied path coincide at two distinct instants t = t1 and t = t2.This demands that,"t= t1, t = t2 എന്നിങ്ങനെ രണ്ട് വ്യത്യസ്ത തന്തുക്കളായി പാഥും യോജിക്കുന്നു എന്ന് പ്രോവിസോയിലെ മറ്റേതെങ്കിലും പാതയെ കുറിച്ചു ചിന്തിക്കുക ."
"By a functional we mean a quantity whose values are determined by one or several functions.Thus the domain of a functional is a set of admissible functions, rather than a region of a coordinate space.","ഒരു പ്രവർത്തനത്തിലൂടെ, മൂല്യങ്ങൾ ഒന്നോ അതിലധികമോ ഫങ്ഷനുകൾ നിർണ്ണയിക്കുന്ന ഒരു അളവിനെ നമ്മൾ അർത്ഥമാക്കുന്നു.അതിനാൽ ഒരു ഏകോപിത സ്ഥലത്തിന്റെ പ്രദേശത്തേക്കാൾ, അംഗീകരിക്കാവുന്ന ഒരു കൂട്ടം പ്രവർത്തനങ്ങളാണ് ഡൊമെയ്ൻ ."
"Consider first an actual minimum problem, such that y(x) is that function with continuous first and second derivatives, which renders I in (12) a minimum.Then it can be shown that y(x) yields a minimum if we expand the class of functions to include functions y* which need not have second derivatives.In fact, according to Weirstrass approximation theorem, we can approximate the function y* by a polynominal p(x) and y* by derived polynominl p’(x) as closely as we like, where p(x) satisfies the boundary conditions p(a) = y1 and p(b) = y2 .Then clearly I[p(x)] differs arbitrarily little from I[y*].But since p(x) is an admissible comparison function with continuous second derivates, and therefore .This proves the results.","( 12 ) ഒരു മിനിമം പ്രശ്‌നം പരിചിന്തിക്കുക.രണ്ടാമത്തെ ഡെറിവേറ്റീവുകൾ ഇല്ലാത്തതിനാൽ ഫങ്ഷനുകളുടെ y * ഉൾപ്പെടുത്താൻ ഫങ്ഷനുകളുടെ ക്ലാസ് വിപുലീകരിക്കുകയാണെങ്കിൽ y ( x ) മിനിമം വരുമാനം നൽകുന്നു.യഥാർത്ഥത്തിൽ , വീർസ്ട്രാസ് ഏകദേശ സിദ്ധാന്തമനുസരിച്ച് , y * ഒരു പോളിനോമിനൽ p ( x ) , y എന്നിവ ഉപയോഗിച്ച് നമ്മൾ പോളി നോമിനൽ പി ( x ) [ 5 - ‍ാ‍ം പേജിലെ ചിത്രം ] എന്നാൽ പി ( x ) എന്നത് തുടർച്ചയായ രണ്ടാം ഡെറിവേറ്റുകളുമായി അംഗീകരിക്കാവുന്ന താരതമ്യമാണ്.ഇത് ഫലം കാണിക്കുന്നു ."
"If the force Field is non-conservative (e.g., a dissipative system), the potential energy function does not exist, but (10) still holds and is the work done by the force in a small displacement .The foregoing study can be easily extended to a system of N particles by summation and to a continuous system by integration.Thus for N particles, the kinetic energy is","ഫോഴ്സ് ഫീൽഡ് യാഥാസ്ഥിതികമല്ലെങ്കിൽ ( ഉദാ.ഒരു ഡിസ്പൈസീവ് സിസ്റ്റം ) , സാധ്യമായ ഊർജ്ജ പ്രവർത്തനം നിലവിലില്ല , പക്ഷേ ( 10 ) ഇപ്പോഴും നിലനിൽക്കുന്നു.സംയോജനത്തിലൂടെ എൻ കണികകളുടെ ഒരു സിസ്റ്റത്തിലേക്ക് എളുപ്പത്തിൽ വ്യാപിപ്പിക്കാനും സംയോജിത സംയോജനത്തിലൂടെ ഒരു തുടർച്ചയായ സിസ്റ്റത്തിലേക്ക് വിപുലീകരിക്കാനും ഈ പഠനം സഹായിക്കുന്നു ."
"According to our assumption of slight extensibility, the deviations of the bar from the equilibrium position are smal1, and the term may be ignored.Now by Hamilton’s principle, the integral","ചെറിയ വിപുലീകരണത്തിന്റെ അനുമാനമനുസരിച്ച് , ഇക്ബിലിബ്രിയം സ്ഥാനത്ത് നിന്നുള്ള ബാറിന്റെ വ്യതിയാനങ്ങൾ ചെറുതാണ് , ഈ പദം അവഗണിക്കപ്പെടാം.ഇപ്പോൾ ഹാമിൽട്ടൺ തത്വത്തിൽ ,"
where is a homogeneous function of degree one in and .,ഒരു ഡിഗ്രിയുടെ ഹോമോജെനിസ് പ്രവർത്തനം എവിടെയാണ് .
"In many variational problems, it is more convenient and sometimes necessary to make use of a parametric representation of a line as follows:","പല വ്യതിയാനങ്ങളിലും, ഇത് കൂടുതൽ സൗകര്യപ്രദവും ചിലപ്പോൾ ഒരു വരിയുടെ പാരമെട്രിക് പ്രാതിനിധ്യം ഉപയോഗപ്പെടുത്തേണ്ടതുമാണ് :"
"To prove this lemma, we first note that the relation (13) is clearly satisfied for constant .We now fix a constant C such that for the given .Then from (13) and (14), we have .Setting in this relation gives and this proves the lemma.","ഈ ലെമ്മയെ തെളിയിക്കാൻ, ഈ ബന്ധം (13) സ്ഥിരമായി സംതൃപ്തമാണെന്ന് നമ്മൾ ആദ്യം മനസ്സിലാക്കുന്നു.നമ്മൾ ഇപ്പോൾ നിരന്തരമായ c ക്രമീകരിക്കുന്നു.(13), (14).ഈ ബന്ധത്തിൽ ക്രമീകരണം നൽകുന്നു, ഇത് ലെമ്മയെ തെളിയിക്കുന്നു ."
To study application to problems of mechanics.,മെക്കാനിക്കിന്റെ പ്രശ്നങ്ങള്‍ പഠിക്കാന്‍ .
"holds for any continuously differentiable function , satisfying .Putting , we obtain, after inegration by parts, the relation",തുടർച്ചയായി വേർതിരിച്ചറിയാവുന്ന ഏതു പ്രവർത്തനത്തിനും സംതൃപ്‌തി നൽകുന്നു .
We have familiarised with variational problems involving functionals formed by integrating a certain differential expression in the argument function.But more general classes of functionals are often encountered in variational problems.,ആര്‍ഗ്യുമെന്റ് ഫംഗ്ഷനില്‍ ഒരു പ്രത്യേക ഡിഫറന്‍ഷ്യല്‍ എക്സ്പ്രഷന്‍ സംയോജിപ്പിച്ചുകൊണ്ട് രൂപം കൊണ്ട പ്രവര്‍ത്തനങ്ങള്‍ ഉള്‍പ്പെടുന്ന വ്യതിയാന പ്രശ്‌നങ്ങള്‍ ഞങ്ങള്‍ പരിചയപ്പെടുത്തി.എന്നാൽ കൂടുതൽ ജനറൽ ക്ലാസുകൾ പലപ്പോഴും വ്യത്യസ്ത പ്രശ്നങ്ങൾ നേരിടുന്നു .
where satisfies the homogeneity condition (3).,അവിടെ ഹോമോജെനിറ്റി അവസ്ഥയെ തൃപ്തിപ്പെടുത്തുന്നു ( 3 ) .
Module I- Variational Problems in Parametric Form.,മൊഡ്യൂൾ i പാരമെട്രിക് രൂപത്തിന്റെ വ്യത്യസ്ത പ്രശ്നങ്ങൾ .
where is the force acting on the particle.,കണികയിൽ പ്രവർത്തിക്കുന്ന ശക്തി എവിടെ ?
"One of the most fundamental and important priciples of mechanics and mathematical physics is the priciple of least action due to Hamilton (William Rowan Hamilton 1805-1865), an Irish mathematician, also known for his invention of quaternions).Using this priciple one can deduce the basic equations governing many physical phenomena.Let us formulate the priciple for a dynamical system of particles and begin by considering the case of a single particle.",ഹാമിൽട്ടൺ (വില്ല്യം റൗമിൽട്ടൺ ഹാമിൽട്ടൺ 1805-1865) എന്ന ഒരു ഐറിഷ്‌ ഗണിതശാസ്‌ത്രജ്ഞനാണ്‌.ഈ അച്ചടി ഉപയോഗിച്ച് പല ഭൗതിക പ്രതിഭാസങ്ങളെയും നിയന്ത്രിക്കുന്ന അടിസ്ഥാന സമവാക്യങ്ങളെ നിർവചിക്കാൻ കഴിയും.ഒരൊറ്റ കണികയുടെ കാര്യമെടുക്കുക .
"Integrating the first term in (9) by parts, and by using (8) we find that",( 9 ) ആദ്യ പദത്തെ ഭാഗങ്ങളാൽ സമന്വയിപ്പിച്ച് ( 8 )
"To prove this lemma, we first note that the relation (13) is clearly satisfied for constant .We now fix a constant C such that for the given .Then from (13) and (14), we have .Setting in this relation gives and this proves the lemma.","ഈ ലെമ്മയെ തെളിയിക്കാൻ , ഈ ബന്ധം ( 13 ) സ്ഥിരമായി സംതൃപ്തമാണെന്ന് നമ്മൾ ആദ്യം മനസ്സിലാക്കുന്നു.നമ്മൾ ഇപ്പോൾ നിരന്തരമായ c ക്രമീകരിക്കുന്നു.( 13 ) , ( 14 ).ഈ ബന്ധത്തിൽ ക്രമീകരണം നൽകുന്നു , ഇത് ലെമ്മയെ തെളിയിക്കുന്നു ."
"In many variational problems, it is more convenient and sometimes necessary to make use of a parametric representation of a line as follows:","പല വ്യതിയാനങ്ങളിലും , ഇത് കൂടുതൽ സൗകര്യപ്രദവും ചിലപ്പോൾ ഒരു വരിയുടെ പാരമെട്രിക് പ്രാതിനിധ്യം ഉപയോഗപ്പെടുത്തേണ്ടതുമാണ് :"
Then,പിന്നെ
Let us next consider another functional,അടുത്ത ലേഖനത്തിൽ നാം പരിചിന്തിക്കാം
Consider the functional,പ്രവർത്തനം പരിഗണിക്കുക
This gives from the above equation,മേൽപ്പറഞ്ഞ സമവാക്യത്തിൽ നിന്ന് ഇത് നൽകുന്നു
"Consider first an actual minimum problem, such that y(x) is that function with continuous first and second derivatives, which renders I in (12) a minimum.Then it can be shown that y(x) yields a minimum if we expand the class of functions to include functions y* which need not have second derivatives.In fact, according to Weirstrass approximation theorem, we can approximate the function y* by a polynominal p(x) and y* by derived polynominl p’(x) as closely as we like, where p(x) satisfies the boundary conditions p(a) = y1 and p(b) = y2 .Then clearly I[p(x)] differs arbitrarily little from I[y*].But since p(x) is an admissible comparison function with continuous second derivates, and therefore .This proves the results.","(12) ഒരു മിനിമം പ്രശ്‌നം പരിചിന്തിക്കുക.രണ്ടാമത്തെ ഡെറിവേറ്റീവുകൾ ഇല്ലാത്തതിനാൽ ഫങ്ഷനുകളുടെ y * ഉൾപ്പെടുത്താൻ ഫങ്ഷനുകളുടെ ക്ലാസ് വിപുലീകരിക്കുകയാണെങ്കിൽ y (x) മിനിമം വരുമാനം നൽകുന്നു.യഥാർത്ഥത്തിൽ, വീർസ്ട്രാസ് ഏകദേശ സിദ്ധാന്തമനുസരിച്ച്, y * ഒരു പോളിനോമിനൽ p (x), y എന്നിവ ഉപയോഗിച്ച് നമ്മൾ പോളി നോമിനൽ പി (x) [5-‍ാ‍ം പേജിലെ ചിത്രം] എന്നാൽ പി (x) എന്നത് തുടർച്ചയായ രണ്ടാം ഡെറിവേറ്റുകളുമായി അംഗീകരിക്കാവുന്ന താരതമ്യമാണ്.ഇത് ഫലം കാണിക്കുന്നു ."
Now the vanishing of for arbitrary gives,ഇപ്പോൾ അബദ്ധവശാൽ അപ്രത്യക്ഷമാകുന്നു
"In fact, the principle applies equally well to a general dynamical system consisting of a system of particles and rigid bodies.","വാസ്‌തവത്തിൽ , ഈ തത്ത്വം കണികകളും ശരീരങ്ങളും ഉൾപ്പെട്ട ഒരു പൊതു ചലനാത്മക സംവിധാനത്തിനു തുല്യമാണ്‌ ."
It may be recalled that in deriving Euler’s equation for the functional,പ്രവർത്തനക്ഷമമായ യൂളറുകളുടെ സമവാക്യം
The Weirstrassian form of Euler equation (4) is,ഇംഗ്ലീഷ് വിലാസം euler equation (4)
"At any intermediate time t, we examine the true path and varied path .Taking the dot prouct of variation into (7) and integrating the result with respect to time over the interval (t1, t2), we get",ഏത് ഇടവേളയിലും നമ്മൾ ശരിയായ പാതയും വൈവിധ്യമാർന്ന പാതയും പരിശോധിക്കുന്നു .
Substitution of the above relation in (9) then gives,മേൽപ്പറഞ്ഞ ബന്ധത്തിനു പകരമായി (9) കൊടുക്കുന്നു .
To study the variational problems in parametric form.,പാരമെട്രിക് രൂപത്തിലെ വ്യതിയാന പ്രശ്നങ്ങൾ പഠിക്കുന്നതിന് .
Hamilton's Priciple,ഹാമില്‍ട്ടന്റെ പ്രാപ്പിള്‍
which is a differential-defference equation for the argument function .,ഇതാണു് ആര്‍ഗ്യുമെന്റ് ഫങ്ഷനുള്ള വ്യത്യാസം .
where is the force acting on the particle.,കണികയിൽ പ്രവർത്തിക്കുന്ന ശക്തി എവിടെ?
"A line q is called the geodesic on a surface if at each point of q, the principal normal coincides with the normal to the surface.As an example of Hertz’s principle, we may note that a point on a spherical surface moves along a great circle if it is not acted by external forces.Similarly, a point on a cylindrical surface moves along a helix under the same circumstances.","ഒരു വരി ക്യൂ ഒരു ഉപരിതലത്തിൽ ജിയോഡെസിക് എന്ന് വിളിക്കുന്നു, ഓരോ ഘട്ടത്തിലും, പ്രധാന സാധാരണ രൂപത്തിൽ ഉപരിതലത്തിലേക്ക് പതിക്കുന്നു.ഹെർട്‌സിന്‍റെ തത്ത്വത്തിന്‍റെ ഒരു ദൃഷ്ടാന്തം അതുപോലെ, ഒരു സിലിണ്ടർ ഉപരിതലത്തിലെ ഒരു പോയിന്റ് ഒരേ സാഹചര്യത്തിൽ ഹെലിക്സിലൂടെ നീങ്ങുന്നു ."
"which is Hamilton’s principle.This states that the motion is such that the integral of the difference between the kinetic and potential energies is stationary for the actual path.The difference T-V is known as the Lagrangian function.It can be shown further that this integral is a minimum for the true path, as compared with any neighbouring path having the same terminal configurations, at least over a sufficiently short time interval.","അതാണ്‌ ഹാമിൽട്ടന്‍റെ തത്ത്വം.കൈനറ്റിക്, സാധ്യതയുള്ള ഊർജ്ജങ്ങൾ തമ്മിലുള്ള വ്യത്യാസത്തിന്റെ അവിഭാജ്യ ഘടകമാണ് ചലനം എന്ന് ഇത് പറയുന്നു.ലഗ്രാഞ്ചിയൻ ഫംഗ്ഷൻ എന്നറിയപ്പെടുന്നു.ഒരേ ടെർമിനൽ ക്രമീകരണങ്ങളുള്ള ഏതെങ്കിലും അയൽ പാതയുമായി താരതമ്യപ്പെടുത്തുമ്പോൾ, ഇത് യഥാർത്ഥ പാതയുടെ ഏറ്റവും കുറഞ്ഞത് ആണെന്ന് കാണിക്കാം ."
"From Hamilton’s priciple, one can derive another important principle, known as Hertz’s principle.This states that a particle (or a system) moving on a surface without external forces acting on it, follows a geodesic line.","ഹാമിൽട്ടന്‍റെ പ്രാപ്പിളിൽനിന്ന്, ഹെർട്ട്‌സിന്‍റെ തത്ത്വം എന്നറിയപ്പെടുന്ന മറ്റൊരു പ്രധാന തത്ത്വം ഉരുത്തിരിയാൻ കഴിയും.ഒരു കണിക (അല്ലെങ്കിൽ സിസ്റ്റം) ഒരു ബാഹ്യ ശക്തികൾ പ്രവർത്തിക്കാതെ ഉപരിതലത്തിലേക്ക് നീങ്ങുന്നതായി ഇത് പറയുന്നു, ജിയോഡെസിക് ലൈൻ പിന്തുടരുന്നു ."
"is the differential of a single-valued function .This function is called the force potential and its negative, say V, is the potential energy of the particle.Thus","ഏകീകരിക്കപ്പെട്ട പ്രവർത്തനത്തിന്റെ വ്യത്യാസം.ഈ പ്രവർത്തനത്തെ ശക്തി സാധ്യതയും അതിന്റെ നിഷേധവും എന്ന് വിളിക്കുന്നു , ' v ' എന്ന് പറയുക ."
Objective,ലക്ഷ്യം
we first notice that the integrand is homogeneous of degree one.,ഒരു ഡിഗ്രി ഒന്നിന്റെ ഏകീകരണമാണ് ഇന്റഗ്രേറ്റഡ് എന്ന് നമ്മൾ ആദ്യം ശ്രദ്ധിക്കുന്നു .
