english,malayalam
<Page-2>,<പേജ്-2>
"• Those diagnosed to have glaucoma, who are on antiglaucoma medications namely Travoprost or dorzolamide-timolol combination drops (Misopt) for a duration of more than one year","• ഗ്ലോക്കോമ ഉണ്ടെന്ന് രോഗനിർണയം നടത്തിയവർ, ആൻറിഗ്ലോക്കോമ മരുന്നുകളായ ട്രാവോപ്രോസ്റ്റ് അല്ലെങ്കിൽ ഡോർസോലാമൈഡ്-ടിമോലോൾ കോമ്പിനേഷൻ ഡ്രോപ്പുകൾ (മിസോപ്റ്റ്) ഒരു വർഷത്തിൽ കൂടുതലായി ഉപയോഗിക്കുന്നവർ"
You will be asked to provide 10 mL of blood for this study. Your doctor or nurse will obtain blood from a vein in your arm.,ഈ പഠനത്തിനായി 10 മില്ലി ലിറ്റർ രക്തം നൽകാൻ ആവശ്യപ്പെടും. നിങ്ങളുടെ ഡോക്ടറോ നഴ്സുമോ നിങ്ങളുടെ കൈയിലെ ഒരു ഞരമ്പിൽ നിന്ന് രക്തം സ്വീകരിക്കും.
Date: 13.10.2023,തീയതി:13.10.2023
"Main purpose To assess severity of, and change in, depressive symptoms","പ്രധാന ലക്ഷ്യം വിഷാദ രോഗലക്ഷണങ്ങളുടെ തീവ്രത വിലയിരുത്തുകയും, അത്മാറ്റുകയും ചെയ്യുക"
12. Will the cells from my body be stored for future use?,12. എന്റെ ശരീരത്തിൽ നിന്നുള്ള കോശങ്ങള്‍ ഭാവിയിലെ ഉപയോഗത്തിനായി സംഭരിക്കുമോ?
"We searched for studies that investigated DPP4i, GLP‐1RA and SGLT2i medicines compared with each other or with placebo (a medicine that looks like the real medicine but that has no active ingredient).","DPP4i, GLP‐1RA, SGLT2i എന്നീ മരുന്നുകളെ പരസ്പരം താരതമ്യപ്പെടുത്തി അല്ലെങ്കിൽ പ്ലേസിബോയുമായി (യഥാർത്ഥ മരുന്ന് പോലെ തോന്നിക്കുന്ന, എന്നാൽ സജീവമായ ചേരുവകളില്ലാത്ത ഒരു മരുന്ന്) എന്നിവയെ കുറിച്ചുള്ള പഠനങ്ങൾ ഞങ്ങൾ അന്വേഷിച്ചു ."
Initials:,ഇനിഷ്യലുകൾ‌:
3.5. Mobile App,3.5 മൊബൈൽ ആപ്പ്
Signature of the Investigator with date,തീയതി സഹിതമുള്ള അന്വേഷകന്റെ ഒപ്പ്
Should I definitely have to take part in this study?,ഞാൻ തീർച്ചയായും ഈ പഠനത്തിൽ പങ്കെടുക്കേണ്ടതുണ്ടോ?
Confidentiality: Your name and identity will not be mentioned in the data sheet or the final published study. A unique number and ID will be provided to your data and the same will be used for analysis.,"രഹസ്യാത്മകത: നിങ്ങളുടെ പേരും ഐഡന്റിറ്റിയും ഡാറ്റാ ഷീറ്റിലോ അന്തിമമായി പ്രസിദ്ധീകരിച്ച പഠനത്തിലോ പരാമർശിക്കില്ല. നിങ്ങളുടെ ഡാറ്റയ്ക്ക് ഒരു അദ്വിതീയ നമ്പറും ഐഡിയും നൽകും, അത് വിശകലനത്തിനായി ഉപയോഗിക്കും."
Voluntary Participation,സ്വമേധയാ ഉള്ള പങ്കാളിത്തം
"‐ reduce the risk of death due to cardiovascular disease and from any cause slightly, and reduce the risk of stroke slightly;",‐ ഹൃദയ സംബന്ധമായ അസുഖങ്ങൾ മൂലവും ഏതെങ്കിലും കാരണത്താൽ മരണ സാധ്യതയും ചെറുതായി കുറയ്ക്കുകയും ഹൃദയാഘാത സാധ്യത ചെറുതായി കുറയ്ക്കുകയും ചെയ്യുക;
Your participation in this study is entirely voluntary and you are free to decide to withdraw permission to participate in this study.,"ഈ പഠനത്തിലെ നിങ്ങളുടെ പങ്കാളിത്തം പൂർണ്ണമായും സ്വമേധയാ ഉള്ളതാണ്, ഈ പഠനത്തിൽ പങ്കെടുക്കാനുള്ള അനുമതി പിൻവലിക്കാൻ നിങ്ങൾക്ക് സ്വാതന്ത്ര്യമുണ്ട്."
What are the risks and discomforts during the study?,പഠനസമയത്ത് ഉണ്ടാകുന്ന അപകടസാധ്യതകളും അസ്വസ്ഥതകളും എന്തൊക്കെയാണ്?
Contact details for further information:,കൂടുതൽ വിവരങ്ങൾക്ക് ബന്ധപ്പെടാനുള്ള വിശദാംശങ്ങൾ:
"Your participation in this study is voluntary. You may decide not to be in this study, or to be in the study now and then withdraw if you change your mind later without affecting your care. You may refuse to answer any question that you do not want to answer. You will not have any additional cost as a result of participating in this study.","ഈ പഠനത്തിലെ നിങ്ങളുടെ പങ്കാളിത്തം സ്വമേധയാ ഉള്ളതാണ്. ഈ പഠനത്തിൽ ഏർപ്പെടേണ്ടെന്ന് നിങ്ങൾ തീരുമാനിച്ചാലും, അല്ലെങ്കിൽ പഠനത്തില്‍ ചേര്‍ന്നതിന് ശേഷം പഠനത്തില്‍ തുടരേണ്ടതില്ല എന്ന് തീരുമാനിച്ചാലും അതൊന്നും തന്നെ നിങ്ങള്‍ക്ക് ലഭിക്കുന്ന ചികിത്സയെ ബാധിക്കുകയില്ല. നിങ്ങള്‍ ഉത്തരം നൽകാൻ ആഗ്രഹിക്കാത്ത ഏത് ചോദ്യത്തിനും ഉത്തരം നല്‍കുന്നതിന് നിങ്ങള്‍ക്ക് വിസമ്മതം രേഖപ്പെടുത്താം. ഈ പഠനത്തിൽ പങ്കെടുക്കുന്നതിന്റെ ഫലമായി നിങ്ങൾക്ക് അധിക ചിലവ് ഉണ്ടാകില്ല."
27. Starting or ending school: 26,27. സ്കൂൾ ആരംഭിക്കുകയോ അവസാനിപ്പിക്കുകയോ ചെയ്യുന്നത്: 26
1. Death of spouse: 100,1. പങ്കാളിയുടെ മരണം: 100
Voluntary Participation:,സന്നദ്ധ പങ്കാളിത്തം:
MSc Nursing Student,എം.എസ്.സി നഴ്‌സിംഗ് വിദ്യാർത്ഥി
Fever,പനി
"Your blood will not be used for any therapeutic purpose at this time. However, modified cells derivatives from your blood may be used to develop therapies to treat patients in future.","ഈ സമയത്ത് നിങ്ങളുടെ രക്തം ഒരു ചികിത്സാ ആവശ്യങ്ങൾക്കും ഉപയോഗിക്കില്ല. എന്നിരുന്നാലും, ഭാവിയിൽ രോഗികളെ ചികിത്സിക്കുന്നതിനുള്ള ചികില്‍സാരീതികള്‍ വികസിപ്പിക്കുന്നതിന് നിങ്ങളുടെ രക്തത്തിൽ നിന്നുള്ള പരിഷ്കരിച്ച കോശങ്ങൾ ഉപയോഗിച്ചേക്കാം."
9 Mother`s income per month in INR,9 മാതാവിന്‍റെ പ്രതിമാസ വരുമാനം രൂപയില്‍
39. Change in number of family gatherings: 15,39. കുടുംബയോഗങ്ങളുടെ എണ്ണത്തിൽ മാറ്റം: 15
DOB:,ജനനത്തീയതി:
"You/your child are being requested to participate in our study as a non-sepsis control. In this study, we will be using a new test method to measure levels of a novel biomarker in the blood of children with severe blood infection. This biomarker may indicate and predict bad outcome in children with severe infection. However,we will be requiring blood samples from normal subjects to check the baseline levels of this new biomarker in non-sepsis (severe blood infection) individuals for better comparison.","നിങ്ങളോ / നിങ്ങളുടെ കുട്ടിയോ ഞങ്ങളുടെ പഠനത്തിൽ നോൺ-സെപ്‌സിസ് കോൺട്രോൾ ആയി പങ്കെടുക്കാൻ അഭ്യർത്ഥിക്കുന്നു. ഈ പഠനത്തിൽ, കഠിനമായ രക്ത അണുബാധയുള്ള കുട്ടികളുടെ രക്തത്തിൽ ഒരു പുതിയ ബയോ മാർക്കറിന്റെ അളവ് അളക്കാൻ ഞങ്ങൾ ഒരു പുതിയ പരീക്ഷണ രീതി ഉപയോഗിക്കും. കഠിനമായ അണുബാധയുള്ള കുട്ടികളിൽ ഈ ബയോ മാർക്കർ മോശം ഫലങ്ങൾ സൂചിപ്പിക്കുകയും പ്രവചിക്കുകയും ചെയ്യാം. എന്നിരുന്നാലും, മെച്ചപ്പെട്ട താരതമ്യത്തിനായി നോൺ-സെപ്സിസ് (കഠിനമായ രക്ത അണുബാധ) വ്യക്തികളിലെ ഈ പുതിയ ബയോ മാർക്കറിന്റെ അടിസ്ഥാന അളവ് പരിശോധിക്കുന്നതിന് സാധാരണ നിലയിലുള്ള ആളുകളിൽ നിന്നുള്ള രക്ത സാമ്പിളുകൾ ഞങ്ങക്ക് ആവശ്യമാണ് ."
Research coordinator,റിസർച്ച്കോർഡിനേറ്റർ
"Ans. Physeal bar is a disease where growing part of your child’s bone (called as physis or growth plate) fuses too early and fails to grow, causing the bone to bend or shorten.",ഉത്തരം. നിങ്ങളുടെ കുട്ടിയുടെ അസ്ഥിയുടെ (ഫിസിസ് അല്ലെങ്കിൽ ഗ്രോത്ത് പ്ലേറ്റ് എന്ന് വിളിക്കപ്പെടുന്ന) വളരുന്ന ഭാഗം വളരെ നേരത്തെ കൂടിച്ചേർന്ന് വളരുന്നതിൽ പരാജയപ്പെടുകയും അസ്ഥി വളയുകയോ ചെറുതാക്കുകയോ ചെയ്യുന്ന ഒരു രോഗമാണ് ഫിസൽ ബാർ.
Information Sheet,വിവര ഷീറ്റ്
"7. Female Relative is compulsory for the night. In case of no female relative, inform ward staff and your doctor much earlier to arrange helper for the night.","7. രാത്രിയിൽ സ്ത്രീ ബന്ധു നിർബന്ധമാണ്. സ്ത്രീ ബന്ധുക്കൾ ഇല്ലെങ്കിൽ, രാത്രിയിൽ സഹായിയെ ക്രമീകരിക്കാൻ വാർഡ് ജീവനക്കാരെയും നിങ്ങളുടെ ഡോക്ടറെയും വളരെ നേരത്തെത്തന്നെ അറിയിക്കുക."
Draw it here,അത് ഇവിടെ വരയ്ക്കുക
Preoperative Assessment,ശസ്ത്രക്രിയയ്ക്ക് മുമ്പുള്ള പരിശോധന
"If you have any further questions, please feel free to contact:","നിങ്ങൾക്ക് കൂടുതൽ എന്തെങ്കിലും ചോദ്യങ്ങളുണ്ടെങ്കിൽ, ബന്ധപ്പെടാൻ മടിക്കേണ്ടതില്ല:"
13. Never turn down a free drink.,13. ഒരിക്കലും സൌജന്യമായി ലഭിക്കുന്ന മദ്യം നിരസിക്കരുത്.
NA- I am not participating in the FOP Biobank,NA- ഞാൻ FOP ബയോബാങ്കിൽ പങ്കെടുക്കുന്നില്ല
(vi) I am aware of the Audio-visual recording of the Informed Consent. [ ],(vi) ബോധ്യത്തോടെയുള്ള സമ്മതം നല്‍കലിന്‍റെ ഓഡിയോ-വിഷ്വൽ റെക്കോർഡിംഗിനെക്കുറിച്ച് എനിക്ക് അറിയാം. [ ]
I know and that my refusal for the consent for video graph will not have even slightest effect over the treatment.,വീഡിയോ ഗ്രാഫിനുള്ള എന്റെ വിസമ്മതം എന്റെ ചികിത്സയിൽ ഒരു ചെറിയ സ്വാധീനം പോലും ഉണ്ടാക്കില്ലെന്നും എനിക്കറിയാം.
◦ analysis of your DNA.,◦ നിങ്ങളുടെ DNA യുടെ അനാലിസിസ്.
"As the healthcare team transitions, the commitment to your well-being continues, with vital signs closely monitored to facilitate a smooth recovery. If you have any questions or concerns, please feel free to communicate with us. Your comfort and recovery remain our top priorities. Thank you for entrusting us with your health.","ആരോഗ്യസംരക്ഷണ സംഘം മാറിയാലും നിങ്ങളുടെ ക്ഷേമത്തിനായുള്ള പ്രതിബദ്ധത തുടരുന്നു, സുഗമമായ റിക്കവറി ഉറപ്പിക്കുന്നതിനു സുപ്രധാന അടയാളങ്ങൾ സൂക്ഷ്മമായി നിരീക്ഷിക്കുന്നു. നിങ്ങൾക്ക് എന്തെങ്കിലും ചോദ്യങ്ങളോ ആശങ്കകളോ ഉണ്ടെങ്കിൽ, ഞങ്ങളുമായി ആശയവിനിമയം നടത്താൻ മടിക്കേണ്ടതില്ല. നിങ്ങളുടെ ആശ്വാസവും,റിക്കവറിയും ഞങ്ങളുടെ മുൻഗണനകളായി തുടരുന്നു. നിങ്ങളുടെ ആരോഗ്യം ഞങ്ങളുടെ കൈകളിൽ ഏൽപ്പിച്ചതിന് നന്ദി."
You have been chosen because you have fit one of the following criteria: -,ഇനിപ്പറയുന്ന മാനദണ്ഡങ്ങളിലൊന്ന് നിങ്ങൾ യോജിച്ചതിനാൽ നിങ്ങളെ തിരഞ്ഞെടുത്തു: -
Hemodynamic changes in healthy blood donors during whole blood donation – A prospective observational study.,മുഴുവൻ രക്തദാനത്തിനിടയിൽ ആരോഗ്യമുള്ള രക്തദാതാക്കളിൽ സംഭവിക്കുന്ന ഹീമോഡൈനാമിക് മാറ്റങ്ങൾ - ഒരു പ്രതീക്ഷയുള്ള നിരീക്ഷണ പഠനം.
"Donation is a gift. You will not have any right to restrict the development work that is carried out in connection with your donated cells, nor give you any rights in any discoveries that may result from their use. Similarly, you will have no rights to any cells that may be produced. This means that in the future, if any stem cell lines are suitable for treatment, you will have no influence in decision regarding who might ( or might not ) receive treatment. There is also possibility that the results of the development work using iPSC lines may be patented and used commercially. You will not receive any financial benefit from this. Please note that any research performed by using your donated material will be carried out under ethical review.","ഡൊണേഷന്‍ ഒരു സമ്മാനമാണ്. നിങ്ങൾ ഡൊണേറ്റ് ചെയ്ത കോശങ്ങളുമായി ബന്ധപ്പെട്ട് നടപ്പിലാക്കുന്ന വികസന പ്രവർത്തനങ്ങൾ നിയന്ത്രിക്കാനോ അവയുടെ ഉപയോഗ ഫലമായുണ്ടാകുന്ന കണ്ടെത്തലുകൾക്ക് അവകാശങ്ങൾ ഉന്നയിക്കാനോ നിങ്ങൾക്ക് കഴിയില്ല. അതുപോലെ, ഉൽപ്പാദിപ്പിക്കപ്പെടുന്ന ഏതെങ്കിലും കോശങ്ങളില്‍ നിങ്ങൾക്ക് അവകാശമില്ല. ഇതിനർത്ഥം, ഭാവിയിൽ, ഏതെങ്കിലും സ്റ്റെം സെൽ ലൈനുകൾ ചികിത്സയ്ക്ക് അനുയോജ്യമാണെങ്കിൽ, ആർക്കൊക്കെ ചികിത്സ നൽകണം (അല്ലെങ്കിൽ നൽകേണ്ട ) എന്ന കാര്യത്തിൽ നിങ്ങൾക്ക് യാതൊരു സ്വാധീനവും ഉണ്ടാകില്ല. iPSC ലൈനുകൾ ഉപയോഗിച്ചുള്ള വികസന പ്രവർത്തനങ്ങളുടെ ഫലങ്ങൾ പേറ്റന്റ് നേടാനും വാണിജ്യപരമായി ഉപയോഗിക്കാനും സാധ്യതയുണ്ട്. ഇതിൽ നിന്ന് നിങ്ങൾക്ക് ഒരു സാമ്പത്തിക നേട്ടവും ലഭിക്കില്ല. നിങ്ങൾ ഡൊണേറ്റ് ചെയ്‌ത മെറ്റീരിയൽ ഉപയോഗിച്ച് നടത്തുന്ന ഏതൊരു റിസേര്‍ച്ചും ധാർമ്മിക അവലോകനത്തിന് വിധേയമാണെന്ന് ദയവായി ശ്രദ്ധിക്കുക."
2. Admission Charges doesn't include pharmacy charges.,2. അഡ്മിഷൻ ചാർജുകളിൽ ഫാർമസി നിരക്കുകൾ ഉൾപ്പെടുന്നില്ല.
- Accident Victims,- അപകട ബാധകൾ
Benefits:,നേട്ടങ്ങൾ:
"• By participating in this study, your hospital stay will not be extended beyond normal care.","ഈ പഠനത്തിൽ പങ്കെടുക്കുന്നതിലൂടെ, നിങ്ങളുടെ ആശുപത്രി വാസം സാധാരണ പരിചരണ കാലാവധിയില്‍ കൂടുതല്‍ നീളുകയില്ല."
15. Cell lines,15. സെൽ ലൈനുകൾ
Name of Research Subject /Legally Acceptable Representative,ഗവേഷണത്തിന് വിധേയനാകുന്ന ആളുടെ പേര് / നിയമപരമായി സ്വീകാര്യമായ പ്രതിനിധിയുടെ പേര്
"In case no parent is with the child,","ഒരു രക്ഷകർത്താവും കുട്ടിയ്‌ക്കൊപ്പമില്ലെങ്കിൽ,"
You are being requested to participate in a study to assess the role of soluble HLA G in renal transplant recipients.,വൃക്കസംബന്ധമായ ട്രാൻസ്പ്ലാൻറ് സ്വീകർത്താക്കളിൽ ലയിക്കുന്ന എച്ച്എൽഎ ജി യുടെ പങ്ക് വിലയിരുത്തുന്നതിനായി ഒരു പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങളോട് അഭ്യർത്ഥിക്കുന്നു.
I have explained the information above to the donor and have answered all of their questions.,മുകളിലുള്ള വിവരങ്ങൾ ഞാൻ ദാതാവിന് വിശദീകരിച്ച് കൊടുക്കുകയും അവരുടെ എല്ലാ ചോദ്യങ്ങൾക്കും ഉത്തരം നല്‍കുകയും ചെയ്തു.
You must know that your cells or any derivatives from them will be stored indefinitely and iPSCs lines derived from your sample could be used in future studies in different organizations across the world.,നിങ്ങളുടെ സെല്ലുകള്‍ അല്ലെങ്കില്‍ അവയിൽ നിന്നുള്ള ഏതെങ്കിലും ഡെറിവേറ്റീവുകള്‍ അനിശ്ചിതമായി സംഭരിക്കപ്പെടുമെന്നും നിങ്ങളുടെ സാമ്പിളിൽ നിന്ന് ഉരുത്തിരിഞ്ഞ iPSC ലൈനുകൾ ലോകമെമ്പാടുമുള്ള വിവിധ ഓർഗനൈസേഷനുകളിലെ ഭാവി പഠനങ്ങളിൽ ഉപയോഗിക്കുമെന്നും നിങ്ങൾ അറിഞ്ഞിരിക്കണം.
Signature of the Investigator: ________________________,ഇന്‍വെസ്റ്റിഗേറ്ററുടെ ഒപ്പ്: ________________________
• The right to object (to personal data being used or withdraw),• എതിർക്കാനുള്ള അവകാശം (വ്യക്തിഗത ഡാറ്റ ഉപയോഗിക്കുന്നതിനോ പിൻവലിക്കുന്നതിനോ)
0. Absent.,0. ശ്രദ്ധയില്ലാത്ത.
0. Not present.,0. നിലവിലില്ല.
1. Why are we doing the study?,1. നമ്മൾ എന്തിനാണ് ഈ പഠനം നടത്തുന്നത്?
"(Form n. 2: ""Informed Consent for the Treatment"").","(ഫോം നമ്പര്‍. 2: ""ചികിത്സക്കായി ബോധ്യപ്പെടുത്തി നേടിയ സമ്മതം"")."
PARTICIPANT INFORMATION SHEET- ISSUE-BASED REHABILITATION,പാർട്ടിസിപ്പന്റ് ഇൻഫർമേഷൻ ഷീറ്റ്-പ്രശ്നം അടിസ്ഥാനമാക്കിയുള്ള റീഹാബിലിറ്റേഷൻ
"You can sing your favorite song, the happy birthday song, or the alphabet song","നിങ്ങളുടെ പ്രിയപ്പെട്ട ഒരു ഗാനം, ജന്മദിനാശംസ നേരുന്ന ഗാനം, അല്ലെങ്കിൽ അക്ഷരമാല ഗാനം എന്നിവ നിങ്ങൾക്ക് പാടാം"
I am assured that the information will be kept only for this study purpose and it will be kept confidential.,പഠന വിവരങ്ങള്‍ ഈ പഠന ആവശ്യത്തിനായി മാത്രം സൂക്ഷിക്കുമെന്നും അത് രഹസ്യമായി സൂക്ഷിക്കുമെന്നും എനിക്ക് ഉറപ്പ് നല്‍കിയിട്ടുണ്ട്.
"For any queries or problems related to the study, you can contact us at the address above or the number below.Thank you for taking part in this study.",പഠനവുമായി ബന്ധപ്പെട്ട് എന്തെങ്കിലും ചോദ്യങ്ങൾ അല്ലെങ്കിൽ പ്രശ്നങ്ങൾ ഉണ്ടെങ്കില്‍ മുകളിലുള്ള വിലാസത്തിൽ അല്ലെങ്കിൽ താഴെ കൊടുത്തിരിക്കുന്ന നമ്പറിൽ ഞങ്ങളെ ബന്ധപ്പെടാം. ഈ പഠനത്തിൽ പങ്കാളിയായതിന് നന്ദി.
15) HYPOCHONDRIASIS,15) ഹൈപ്പോചോണ്ട്രിയാസിസ്
"(iv) I agree not to restrict any data or results from this study, provided such service is only for scientific purposes (s). [ ]","(iv) ഈ പഠനത്തിൽ നിന്നുള്ള ഡാറ്റയോ റിസൾട്ടുകളോ നിയന്ത്രിക്കില്ലെന്ന് ഞാൻ സമ്മതിക്കുന്നു, അത്തരം സേവനം ശാസ്ത്രീയ ആവശ്യത്തിനു (ആവശ്യങ്ങൾക്ക്) മാത്രമുള്ളതാണ് . [ ]"
I have read the information sheet provided to me regarding this study and have clarified any doubts that I had.,ഈ പഠനവുമായി ബന്ധപ്പെട്ട് എനിക്ക് നൽകിയ വിവരങ്ങളടങ്ങിയ ഷീറ്റ് ഞാൻ വായിക്കുകയും എനിക്ക് ഉണ്ടായിരുന്ന സംശയങ്ങളില്‍ വ്യക്തത വരുത്തുകയും ചെയ്തിട്ടുണ്ട്.
"1. Whole body, 2. Upper limbs, 3. Lower limbs, 4. Trunk-back, 5. Trunk-front, 6. Face, 7. Private parts","1. മുഴുവൻ ശരീരം, 2. മുകളിലെ കൈകാലുകൾ, 3. താഴെയുള്ള കൈകാലുകൾ, 4. ശരീരത്തിന്റെ പിൻഭാഗം , 5. ശരീരത്തിന്റെ മുൻഭാഗം, 6. മുഖം, 7. സ്വകാര്യ ഭാഗങ്ങൾ"
"You have all the right to decline participation in this study for any reason. Your regular treatment will continue uninterrupted, and all the necessary tests will be performed as per hospital protocol.","ഏത് കാരണവശാലും ഈ പഠനത്തിലെ പങ്കാളിത്തം നിരസിക്കാൻ നിങ്ങൾക്ക് എല്ലാ അവകാശവുമുണ്ട്. നിങ്ങളുടെ പതിവ് ചികിത്സ തടസ്സമില്ലാതെ തുടരും, കൂടാതെ ആശുപത്രി കീഴ്വഴക്കം അനുസരിച്ച് ആവശ്യമായ എല്ലാ പരിശോധനകളും നടത്തും."
Relation to the participant:______,പങ്കെടുക്കുന്നയാളുമായുള്ള ബന്ധം: ______
You are being requested to permit your child to participate in this study which utilizes a new blood test which may help in the early identification of complications of severe blood infection(sepsis).,കഠിനമായ രക്താണുബാധയുടെ (സെപ്സിസ്) സങ്കീർണതകൾ നേരത്തേ തിരിച്ചറിയാൻ സഹായിക്കുന്ന ഒരു പുതിയ രക്തപരിശോധന ഉപയോഗപ്പെടുത്തുന്ന ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങളുടെ കുട്ടിയെ അനുവദിക്കാൻ നിങ്ങളോട് അഭ്യർത്ഥിക്കുന്നു.
If you take part in this study what will you have to do?,നിങ്ങൾ ഈ പഠനത്തിൽ പങ്കെടുത്താൽ എന്താണ് ചെയ്യേണ്ടത്?
◦ people otherwise authorized legally to have access to your data.,◦ നിങ്ങളുടെ ഡാറ്റക്ക് ആക്‌സസ് ലഭിക്കുന്നതിന് നിയമപരമായി അധികാരപ്പെടുത്തിയ ആളുകൾ.
17) INSIGHT,17) ഉൾക്കാഴ്ച
Signature or thumb impression of the Witness: ___________________________,സാക്ഷിയുടെ ഒപ്പ് അല്ലെങ്കിൽ വിരലടയാളം: ___________________________
"If you agree for your child to take part in this study, you will be asked to sign the Consent Form on the last page of this document. This document includes the information sheet and the consent form. Please make sure you have read and understood all the pages.","നിങ്ങളുടെ കുട്ടി ഈ പഠനത്തിൽ‌ പങ്കെടുക്കുന്നതിന്‌ നിങ്ങൾ‌ സമ്മതിക്കുകയാണെങ്കിൽ‌, ഈ പ്രമാണത്തിന്റെ അവസാന പേജിൽ‌ സമ്മത ഫോമിൽ‌ ഒപ്പിടാൻ‌ നിങ്ങളോട് ആവശ്യപ്പെടും. ഈ പ്രമാണത്തിൽ വിവര ഷീറ്റും സമ്മത ഫോമും ഉൾപ്പെടുന്നു. ഒപ്പിടുന്നതിന് മുന്‍പ് നിങ്ങൾ എല്ലാ പേജുകളും വായിക്കുകയും മനസ്സിലാക്കുകയും ചെയ്തുവെന്ന് ഉറപ്പാക്കുക."
- Cells,- കോശങ്ങൾ
What are the risks and discomforts during the study?,പഠന സമയത്തെ അപകടസാധ്യതകളും അസ്വസ്ഥതകളും എന്തൊക്കെയാണ്?
You are requested to participate in this study to evaluate the variations in blood pressure and pulse rate during blood donation.,രക്തദാന സമയത്ത് രക്തസമ്മർദ്ദത്തിലെയും പൾസ് നിരക്കിലെയും വ്യതിയാനങ്ങൾ വിലയിരുത്തുന്നതിന് ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ നിങ്ങളോട് അഭ്യർത്ഥിക്കുന്നു.
Confidentiality: Your name and identity will not be mentioned in the data sheet or the final,രഹസ്യാത്മകത: നിങ്ങളുടെ പേരും ഐഡന്റിറ്റിയും ഡാറ്റാ ഷീറ്റിലോ അന്തിമമായി പ്രസിദ്ധീകരിച്ച
"(ii) I understand that my participation in the study is voluntary and that I am free to withdraw at any time, without giving any reason, without my medical care or legal rights being affected. [ ]","(ii) പഠനത്തിലെ എന്റെ പങ്കാളിത്തം സ്വമേധയാ ഉള്ളതാണെന്നും ഒരു കാരണവും നൽകാതെ, എന്റെ വൈദ്യ പരിചരണത്തെയോ നിയമപരമായ അവകാശങ്ങളെയോ ബാധിക്കാതെ എപ്പോൾ വേണമെങ്കിലും പിൻവലിക്കാൻ എനിക്ക് സ്വാതന്ത്ര്യമുണ്ടെന്നും ഞാൻ മനസ്സിലാക്കുന്നു. []"
Signature of the Investigator: ________________________,അന്വേഷകന്റെ ഒപ്പ്: ________________________
"Conscientiousness: 3R, 8","മനസ്സാക്ഷി: 3R, 8"
This will involve placing a very fine tube in your back which will allow us to give medicines to keep you pain free.,"നിങ്ങളുടെ പുറകിൽ വളരെ മികച്ച ഒരു ട്യൂബ് സ്ഥാപിക്കുന്നത് ഇതിൽ ഉൾപ്പെടും, ഇത് നിങ്ങൾക്ക് എളുപ്പത്തില്‍ വേദന സംഹാര മരുന്നുകൾ നൽകുന്നതിന് ഞങ്ങളെ സഹായിക്കും."
You may or may not receive any direct benefit from being in this study. Information from this study may help other people with your condition in the future.,ഈ പഠനത്തിൽ നിന്ന് നിങ്ങൾക്ക് നേരിട്ട് നേട്ടമുണ്ടാകാനോ ഉണ്ടാകാതിരിക്കാനോ സാധ്യതയുണ്ട്. ഈ പഠനത്തിൽ നിന്നുള്ള വിവരങ്ങൾ ഭാവിയിൽ നിങ്ങളുടെ അതേ അവസ്ഥയിലുള്ള മറ്റ് ആളുകളെ സഹായിച്ചേക്കാം.
Why have I been invited?,എന്തിനാണ് എന്നെ ക്ഷണിച്ചത്?
Informed Consent Form for Subjects,വിഷയങ്ങൾക്കുള്ള വിവരമുള്ള കൺസെന്റ് ഫോം
Subject’s Initials:,വിഷയത്തിന്റെ ചുരുക്കപ്പേര് :
If you take part what will you have to do?,നിങ്ങൾ പങ്കെടുക്കുകയാണെങ്കിൽ നിങ്ങൾ എന്താണ് ചെയ്യേണ്ടത്?
9) Will taking part in the study cost me anything and will I be paid?,"9) പഠനത്തിൽ പങ്കെടുക്കുന്നത് എനിക്ക് എന്തെങ്കിലും ചെലവാകുമോ, അല്ലെങ്കില്‍ എനിക്ക് പ്രതിഫലം ലഭിക്കുമോ?"
Acquired knowledge may help in the long-term care and management of children with blood Infection.,രക്തത്തില്‍ അണുബാധയുള്ള കുട്ടികളുടെ ദീർഘകാല പരിചരണത്തിനും പരിപാലനത്തിനും നേടിയ അറിവ് സഹായിച്ചേക്കാം.
Appendix 3: FOP Registry Patient Portal CRFs,അനുബന്ധം 3: FOP രജിസ്ട്രി പേഷ്യന്റ് പോർട്ടൽ CRF-കൾ
"Openness to Experience: 5R, 10","തുറന്ന അനുഭവം: 5R, 10"
"If you have any further questions, please ask","നിങ്ങൾക്ക് കൂടുതൽ എന്തെങ്കിലും ചോദ്യങ്ങളുണ്ടെങ്കിൽ, ദയവായി ചോദിക്കുക"
"I attest that this entire form was read to the subject named above. This person had enough time to consider this information, had an opportunity to ask questions, and voluntarily agreed to be in this study.","ഈ ഫോം മുഴുവൻ മുകളിൽ പേരുള്ള വ്യക്തിവായിച്ചതായി ഞാൻ സാക്ഷ്യപ്പെടുത്തുന്നു. ഈ വ്യക്തിക്ക് ഈ വിവരങ്ങൾ പരിഗണിക്കാൻ മതിയായ സമയമുണ്ടായിരുന്നു, ചോദ്യങ്ങൾ ചോദിക്കാനുള്ള അവസരമുണ്ടായിരുന്നു, ഈ പഠനത്തിൽ പങ്കെടുക്കാൻ സ്വമേധയാ സമ്മതിച്ചു."
