id,sentence,gold_label,form,constituent,gold_pos,case_role,meaning,tokens,bert_pos_tagged,mlmorph_breakdown,mlmorph_detected_attached_aanu,mlmorph_detected_detached_aanu
39,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേനയാണ്.,COPULA,ATTACHED,പേന,NOUN,NOMINATIVE_PREDICATE,This is my mother's old pen.,ഇത് എൻ്റെ അമ്മയുടെ പഴയ പേനയാണ് .,ഇത്/DM_DMD എൻ്റെ/N_NN അമ്മയുടെ/N_NN പഴയ/JJ പേനയാണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | അമ്മയുടെ: [അമ്മ<n><genitive>,അമ്മ<np><genitive>] | പഴയ: [പഴയ<adj>] | പേനയാണ്: [പേന<n>ആണ്<aff>,പേന<n>ആണ്<aff><adj>]",True,False
40,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരനാണ്.,COPULA,ATTACHED,ചിത്രകാരൻ,NOUN,NOMINATIVE_PREDICATE,Harigovind is a famous painter.,ഹരിഗോവിന്ദ് ഒരു പ്രശസ്ത ചിത്രകാരനാണ് .,ഹരിഗോവിന്ദ്/N_NNP ഒരു/QT_QTO പ്രശസ്ത/JJ ചിത്രകാരനാണ്/V_VAUX ./RD_PUNC,"ഹരിഗോവിന്ദ്: [ഹരി<n><adj>ഗോവിന്ദ്<np>,ഹരി<n><adj>ഗോവിന്ദ്<np><adj>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | പ്രശസ്ത: [പ്രശസ്ത<sanskrit>,പ്രശസ്തം<sanskrit><adj>] | ചിത്രകാരനാണ്: [ചിത്രകാരൻ<n>ആണ്<aff>,ചിത്രകാരൻ<n>ആണ്<aff><adj>]",True,False
41,ആ വലിയ മരം ഒരു പ്ലാവാണ്.,COPULA,ATTACHED,പ്ലാവ്,NOUN,NOMINATIVE_PREDICATE,That big tree is a jackfruit tree.,ആ വലിയ മരം ഒരു പ്ലാവാണ് .,ആ/DM_DMD വലിയ/JJ മരം/N_NN ഒരു/QT_QTF പ്ലാവാണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | മരം: [മരം<n>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | പ്ലാവാണ്: [പ്ലാവ്<n>ആണ്<aff>,പ്ലാവ്<n>ആണ്<aff><adj>]",True,False
42,കേരളം മനോഹരമായ ഒരു നാടാണ്.,COPULA,ATTACHED,നാട്,NOUN,NOMINATIVE_PREDICATE,Kerala is a beautiful land.,കേരളം മനോഹരമായ ഒരു നാടാണ് .,കേരളം/N_NNP മനോഹരമായ/JJ ഒരു/QT_QTF നാടാണ്/V_VAUX ./RD_PUNC,"കേരളം: [കേരളം<n>,കേരളം<np>] | മനോഹരമായ: [മനോഹരം<n>ആയ<cnj>,മനോഹരം<n>ആയ<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | നാടാണ്: [നാട്<n>ആണ്<aff>,നാട്<n>ആണ്<aff><adj>]",True,False
43,ഗംഗ വലിയൊരു നദിയാണ്.,COPULA,ATTACHED,നദി,NOUN,NOMINATIVE_PREDICATE,Ganga is a big river.,ഗംഗ വലിയൊരു നദിയാണ് .,ഗംഗ/N_NNP വലിയൊരു/JJ നദിയാണ്/V_VAUX ./RD_PUNC,"ഗംഗ: [ഗംഗ<n>,ഗംഗ<np>] | വലിയൊരു: [വലി<n>ഒരു<quantifier>] | നദിയാണ്: [നദി<sanskrit>ആണ്<aff>,നദി<sanskrit>ആണ്<aff><adj>]",True,False
44,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരമാണ്.,COPULA,ATTACHED,രുചികരം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,The snack made by mother is very delicious.,അമ്മ ഉണ്ടാക്കിയ പലഹാരം വളരെ രുചികരമാണ് .,അമ്മ/N_NN ഉണ്ടാക്കിയ/V_VM_VNF പലഹാരം/N_NN വളരെ/RP_INTF രുചികരമാണ്/V_VAUX ./RD_PUNC,"അമ്മ: [അമ്മ<n>,അമ്മ<np>] | ഉണ്ടാക്കിയ: [ഉണ്ടാക്കുക<v><adv-clause-rp-past>,ഉണ്ണുക<v><cvb-adv-part-past>ആകുക<v><causative-voice><adv-clause-rp-past>] | പലഹാരം: [പലഹാരം<n>,പലം<n><adj>ഹാരം<n>] | വളരെ: [വളരെ<quantifier>] | രുചികരമാണ്: [രുചി<n><coordinative>കരം<n>ആണ്<aff>,രുചി<n><coordinative>കരം<n>ആണ്<aff><adj>]",True,False
45,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകമാണ്.,COPULA,ATTACHED,സ്മാരകം,NOUN,NOMINATIVE_PREDICATE,This ancient fort is a historical monument.,ഈ പുരാതന കോട്ട ഒരു ചരിത്ര സ്മാരകമാണ് .,ഈ/DM_DMD പുരാതന/JJ കോട്ട/N_NN ഒരു/QT_QTO ചരിത്ര/JJ സ്മാരകമാണ്/V_VAUX ./RD_PUNC,"ഈ: [ഈ<dem>] | പുരാതന: [പുരാതന<n>,പുരാ<n><coordinative>തനം<n><adj>] | കോട്ട: [കോട്ട<n>,കോട്ടം<n><adj>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | ചരിത്ര: [ചരിത്രം<sanskrit><adj>] | സ്മാരകമാണ്: [സ്മാരകം<n>ആണ്<aff>,സ്മാരകം<n>ആണ്<aff><adj>]",True,False
46,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകനാണ്.,COPULA,ATTACHED,സഹപ്രവർത്തകൻ,NOUN,NOMINATIVE_PREDICATE,Andrews is an old colleague of mine.,ആൻഡ്രൂസ് എൻ്റെ ഒരു പഴയ സഹപ്രവർത്തകനാണ് .,ആൻഡ്രൂസ്/N_NNP എൻ്റെ/N_NN ഒരു/QT_QTO പഴയ/JJ സഹപ്രവർത്തകനാണ്/V_VAUX ./RD_PUNC,"ആൻഡ്രൂസ്: [ആൻഡ്രൂസ്<np>,ആൻഡ്രൂസ്<np><adj>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | പഴയ: [പഴയ<adj>] | സഹപ്രവർത്തകനാണ്: [സഹം<sanskrit><adj>പ്രവർത്തകൻ<sanskrit>ആണ്<aff>,സഹം<sanskrit><adj>പ്രവർത്തകൻ<sanskrit><dative>ആണ്<aff>]",True,False
47,ഈ വിഷയം വളരെ സങ്കീർണ്ണമാണ്.,COPULA,ATTACHED,സങ്കീർണ്ണം,ADJ_PRONOMINAL,NOMINATIVE_PREDICATE,This topic is very complex.,ഈ വിഷയം വളരെ സങ്കീർണ്ണമാണ് .,ഈ/DM_DMD വിഷയം/N_NN വളരെ/RP_INTF സങ്കീർണ്ണമാണ്/V_VAUX ./RD_PUNC,"ഈ: [ഈ<dem>] | വിഷയം: [വിഷയം<n>,വിഷയം<sanskrit>] | വളരെ: [വളരെ<quantifier>] | സങ്കീർണ്ണമാണ്: [സങ്കീർണ്ണം<sanskrit>ആണ്<aff>,സങ്കീർണ്ണം<sanskrit>ആണ്<aff><adj>]",True,False
48,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണമാണ്.,COPULA,ATTACHED,പരീക്ഷണം,NOUN,NOMINATIVE_PREDICATE,This is my own experiment.,ഇത് എൻ്റെ സ്വന്തം പരീക്ഷണമാണ് .,ഇത്/DM_DMD എൻ്റെ/N_NN സ്വന്തം/PR_PRF പരീക്ഷണമാണ്/V_VAUX ./RD_PUNC,"ഇത്: [ഇത്<prn>,ഇ<dem>അത്<prn>] | എൻ്റെ: [എൻ<n><genitive>,ഞാൻ<prn><genitive>] | സ്വന്തം: [സ്വന്തം<n>] | പരീക്ഷണമാണ്: [പരീക്ഷണം<n>ആണ്<aff>,പരീക്ഷണം<n>ആണ്<aff><adj>]",True,False
49,ആ ചെറിയ വീട് ഒരു വായനശാലയാണ്.,COPULA,ATTACHED,വായനശാല,NOUN,NOMINATIVE_PREDICATE,That small house is a library.,ആ ചെറിയ വീട് ഒരു വായനശാലയാണ് .,ആ/DM_DMD ചെറിയ/JJ വീട്/N_NN ഒരു/QT_QTO വായനശാലയാണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | ചെറിയ: [ചെറിയ<np>,ചെറിയ<quantifier>] | വീട്: [വീട്<n>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | വായനശാലയാണ്: [വായന<n><coordinative>ശാല<n>ആണ്<aff>,വായന<n><coordinative>ശാല<n>ആണ്<aff><adj>]",True,False
50,പഠനം മനോഹരമായ ഒരു അനുഭവമാണ്.,COPULA,ATTACHED,അനുഭവം,NOUN,NOMINATIVE_PREDICATE,Learning is a beautiful experience.,പഠനം മനോഹരമായ ഒരു അനുഭവമാണ് .,പഠനം/N_NN മനോഹരമായ/JJ ഒരു/QT_QTO അനുഭവമാണ്/V_VAUX ./RD_PUNC,"പഠനം: [പഠനം<sanskrit>] | മനോഹരമായ: [മനോഹരം<n>ആയ<cnj>,മനോഹരം<n>ആയ<postp>] | ഒരു: [ഒരു<dem>,ഒരു<adj>] | അനുഭവമാണ്: [അനുഭവം<n>ആണ്<aff>,അനുഭവം<sanskrit>ആണ്<aff>]",True,False
51,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെ ആണ്.,FOCUS/CLEFT,DETACHED,കുട്ടിയെ,NOUN,ACCUSATIVE,It was that mischievous child whom the teacher punished.,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെ ആണ് .,അധ്യാപകൻ/N_NN ശിക്ഷിച്ചത്/V_VM_VNF ആ/DM_DMD കുസൃതിക്കാരൻ/N_NN കുട്ടിയെ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അധ്യാപകൻ: [അധ്യാപകൻ<n>,അ<dem>അധ്യാപകൻ<n>] | ശിക്ഷിച്ചത്: [ശിക്ഷിക്കുക<v><adv-clause-rp-past><n><deriv>,ശിക്ഷിക്കുക<v><adv-clause-rp-past><n><deriv><adj>] | ആ: [ആ<ij>,ആ<dem>] | കുസൃതിക്കാരൻ: [കുസൃതി<n><masculine><n><deriv>] | കുട്ടിയെ: [കുട്ടി<n><accusative>,കുട്ടി<np><accusative>] | ആണ്: [ആണ്<aff>]",False,True
52,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെ ആണ്.,FOCUS/CLEFT,DETACHED,രാഹുലിനെ,NOUN,ACCUSATIVE,It was Rahul whom I saw yesterday evening.,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെ ആണ് .,ഞാൻ/PR_PRP ഇന്നലെ/RB വൈകിട്ട്/V_VM_VF കണ്ടത്/V_VM_VNF രാഹുലിനെ/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഞാൻ: [ഞാൻ<prn>] | ഇന്നലെ: [ഇന്നലെ<np>,ഇന്നൽ<n>എ<indeclinable>] | വൈകിട്ട്: [NO_ANALYSIS] | കണ്ടത്: [കണ്ടത്<n>,കാണുക<v><adv-clause-rp-past><n><deriv>] | രാഹുലിനെ: [രാഹുൽ<np><accusative>,രാഹുൽ<np><dative>എ<indeclinable>] | ആണ്: [ആണ്<aff>]",False,True
53,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്ത് ആണ്.,FOCUS/CLEFT,DETACHED,നിലത്ത്,NOUN,LOCATIVE,It was on the floor that the child threw and broke the toy.,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്ത് ആണ് .,കുട്ടി/N_NN കളിപ്പാട്ടം/N_NN എറിഞ്ഞു/RB പൊട്ടിച്ചത്/V_VM_VNF നിലത്ത്/N_NN ആണ്/V_VAUX ./RD_PUNC,"കുട്ടി: [കുട്ടി<n>,കുട്ടി<np>] | കളിപ്പാട്ടം: [കളിപ്പാട്ടം<n>,കളി<n><adj>പാട്ടം<n>] | എറിഞ്ഞു: [എറിയുക<v><past>] | പൊട്ടിച്ചത്: [പൊട്ടിക്കുക<v><adv-clause-rp-past><n><deriv>,പൊട്ടുക<v><causative-voice><adv-clause-rp-past><n><deriv>] | നിലത്ത്: [നിലം<n><locative>] | ആണ്: [ആണ്<aff>]",False,True
54,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിൽ ആണ്.,FOCUS/CLEFT,DETACHED,ജന്മദിനത്തിൽ,NOUN,LOCATIVE,It was on her birthday that we gave mother a gift.,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിൽ ആണ് .,അമ്മയ്ക്ക്/N_NN ഞങ്ങൾ/PR_PRP സമ്മാനം/N_NN നൽകിയത്/V_VM_VNF ജന്മദിനത്തിൽ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അമ്മയ്ക്ക്: [അമ്മ<n><dative>,അമ്മ<np><dative>] | ഞങ്ങൾ: [ഞാൻ<prn><pl>] | സമ്മാനം: [സമ്മാനം<n>] | നൽകിയത്: [നൽകുക<v><adv-clause-rp-past><n><deriv>,നൽകുക<v><adv-clause-rp-past><n><deriv><adj>] | ജന്മദിനത്തിൽ: [ജന്മദിനം<n><locative>,ജന്മം<n><adj>ദിനം<np><locative>] | ആണ്: [ആണ്<aff>]",False,True
55,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിൽ ആണ്.,FOCUS/CLEFT,DETACHED,വേഗത്തിൽ,NOUN,LOCATIVE_MANNER,It was very fast that father drove the vehicle.,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിൽ ആണ് .,അച്ഛൻ/N_NN വണ്ടി/PSP ഓടിച്ചത്/V_VM_VNF വളരെ/RP_INTF വേഗത്തിൽ/RB ആണ്/V_VAUX ./RD_PUNC,"അച്ഛൻ: [അച്ഛൻ<n>,അ<dem>അച്ഛൻ<n>] | വണ്ടി: [വണ്ടി<n>] | ഓടിച്ചത്: [ഓടിക്കുക<v><adv-clause-rp-past><n><deriv>,ഓടുക<v><causative-voice><adv-clause-rp-past><n><deriv>] | വളരെ: [വളരെ<quantifier>] | വേഗത്തിൽ: [വേഗത്തിൽ<adv>,വേഗം<n><locative>] | ആണ്: [ആണ്<aff>]",False,True
56,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ട് ആണ്.,FOCUS/CLEFT,DETACHED,കോടാലി കൊണ്ട്,NOUN_POSTPOSITION,INSTRUMENTAL,It was with this big axe that he cut that thick tree.,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ട് ആണ് .,അവൻ/PR_PRP ആ/DM_DMD തടിയൻ/JJ മരം/N_NN മുറിച്ചത്/V_VM_VNF ഈ/DM_DMD വലിയ/JJ കോടാലി/N_NN കൊണ്ട്/PSP ആണ്/V_VAUX ./RD_PUNC,"അവൻ: [അവൻ<prn>,അ<dem>അവൻ<prn>] | ആ: [ആ<ij>,ആ<dem>] | തടിയൻ: [തടിയൻ<n>,തടി<n><masculine><n><deriv>] | മരം: [മരം<n>] | മുറിച്ചത്: [മുറിക്കുക<v><adv-clause-rp-past><n><deriv>,മുറിക്കുക<v><adv-clause-rp-past><n><deriv><adj>] | ഈ: [ഈ<dem>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | കോടാലി: [കോടാലി<n>] | കൊണ്ട്: [കൊണ്ട്<cnj>,കൊണ്ട്<postp>] | ആണ്: [ആണ്<aff>]",False,True
57,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലം ആണ്.,FOCUS/CLEFT,DETACHED,അധ്വാനം മൂലം,NOUN_POSTPOSITION,CAUSAL,It was due to hard work that they passed the exam.,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലം ആണ് .,അവർ/PR_PRP പരീക്ഷ/N_NN പാസായത്/N_NN കഠിനമായ/JJ അധ്വാനം/N_NN മൂലം/PSP ആണ്/V_VAUX ./RD_PUNC,"അവർ: [അവർ<prn>,അ<dem>അവർ<prn>] | പരീക്ഷ: [പരീക്ഷ<sanskrit>] | പാസായത്: [NO_ANALYSIS] | കഠിനമായ: [കഠിനം<n>ആയ<cnj>,കഠിനം<n>ആയ<postp>] | അധ്വാനം: [അധ്വാനം<n>,അ<dem>ധ്വാനം<n>] | മൂലം: [മൂലം<n>,മൂലം<np>] | ആണ്: [ആണ്<aff>]",False,True
58,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവൾ ആണ്.,FOCUS/CLEFT,DETACHED,അവൾ,PRONOUN,NOMINATIVE_SUBJECT,It is she who told me the secret.,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവൾ ആണ് .,എനിക്ക്/PR_PRP രഹസ്യം/N_NN പറഞ്ഞുതന്നത്/V_VM_VNF അവൾ/PR_PRP ആണ്/V_VAUX ./RD_PUNC,"എനിക്ക്: [ഞാൻ<prn><dative>,ഞാൻ<prn><dative><adj>] | രഹസ്യം: [രഹസ്യം<n>] | പറഞ്ഞുതന്നത്: [പറയുക<v><cvb-adv-part-past>തരിക<v><adv-clause-rp-past><n><deriv>,പറയുക<v><cvb-adv-part-past>തരുക<v><adv-clause-rp-past><n><deriv>] | അവൾ: [അവൾ<prn>,അ<dem>അവൾ<prn>] | ആണ്: [ആണ്<aff>]",False,True
59,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്ക് ആണ്.,FOCUS/CLEFT,DETACHED,പെൺകുട്ടിക്ക്,NOUN,DATIVE,It was to that little girl that Rahul sent the gift.,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്ക് ആണ് .,രാഹുൽ/N_NNP സമ്മാനം/N_NN അയച്ചത്/V_VM_VNF ആ/DM_DMD കൊച്ചു/JJ പെൺകുട്ടിക്ക്/N_NN ആണ്/V_VAUX ./RD_PUNC,"രാഹുൽ: [രാഹുൽ<np>] | സമ്മാനം: [സമ്മാനം<n>] | അയച്ചത്: [അയയ്ക്കുക<v><adv-clause-rp-past><n><deriv>,അയയുക<v><causative-voice><adv-clause-rp-past><n><deriv>] | ആ: [ആ<ij>,ആ<dem>] | കൊച്ചു: [കൊച്ചു<np>,കൊച്ച്<n><adj>] | പെൺകുട്ടിക്ക്: [പെൺകുട്ടി<n><dative>] | ആണ്: [ആണ്<aff>]",False,True
60,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്ക് ആണ്.,FOCUS/CLEFT,DETACHED,നാലുമണിക്ക്,NOUN,DATIVE_TEMPORAL,It is at four o'clock that we have to board the flight.,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്ക് ആണ് .,ഞങ്ങൾ/PR_PRP വിമാനം/N_NN കയറേണ്ടത്/V_VM_VNF നാലുമണിക്ക്/N_NN ആണ്/V_VAUX ./RD_PUNC,"ഞങ്ങൾ: [ഞാൻ<prn><pl>] | വിമാനം: [വിമാനം<n>] | കയറേണ്ടത്: [കയറുക<v><cvb-adv-part-simul>അണ്ടുക<v><cvb-adv-part-absolute><n><deriv>,കയറുക<v><cvb-adv-part-simul>അണ്ടുക<v><cvb-adv-part-absolute><n><deriv><adj>] | നാലുമണിക്ക്: [നാല്<ones><cardinal><adj>മണി<n><dative>,നാലു്<ones><cardinal><adj>മണി<n><dative>] | ആണ്: [ആണ്<aff>]",False,True
61,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്ന് ആണ്.,FOCUS/CLEFT,DETACHED,പെട്ടെന്ന്,ADV,MANNER,It was suddenly that the cat jumped down from the table.,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്ന് ആണ് .,പൂച്ച/N_NN മേശപ്പുറത്തു/N_NN നിന്നും/PSP താഴേക്ക്/N_NST ചാടിയത്/N_NN പെട്ടെന്ന്/RB ആണ്/V_VAUX ./RD_PUNC,"പൂച്ച: [പൂച്ച<n>,പൂ<n><coordinative>അച്ച<n>] | മേശപ്പുറത്തു: [മേശ<n><adj>പുറം<n><locative>,മേശ<n><adj>പുറം<n><locative><adj>] | നിന്നും: [നിന്നും<cnj>,നിന്ന്<postp>ഉം<cnj>] | താഴേക്ക്: [താഴ്<n><adj>ഏക്ക്<n>,താഴ്<n><coordinative>ഏക്ക്<n>] | ചാടിയത്: [ചാടുക<v><adv-clause-rp-past><n><deriv>,ചാടുക<v><adv-clause-rp-past><n><deriv><adj>] | പെട്ടെന്ന്: [പെട്ടെന്ന്<adv>,പെട്ടെന്ന്<quantifier>] | ആണ്: [ആണ്<aff>]",False,True
62,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നും ആണ്.,FOCUS/CLEFT,DETACHED,കടയിൽ നിന്നും,NOUN_POSTPOSITION,ABLATIVE_LOCATION,It was from the big shop that Lakshmi bought the new book.,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നും ആണ് .,ലക്ഷ്മി/N_NNP പുതിയ/JJ പുസ്തകം/N_NN വാങ്ങിയത്/N_NN വലിയ/JJ കടയിൽ/N_NN നിന്നും/PSP ആണ്/V_VAUX ./RD_PUNC,"ലക്ഷ്മി: [ലക്ഷ്മി<n>,ലക്ഷ്മി<np>] | പുതിയ: [പുതിയ<adj>] | പുസ്തകം: [പുസ്തകം<n>] | വാങ്ങിയത്: [വാങ്ങുക<v><adv-clause-rp-past><n><deriv>,വാങ്ങുക<v><adv-clause-rp-past><n><deriv><adj>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | കടയിൽ: [കട<n><locative>,കടയുക<v><cvb-adv-part-conditional>] | നിന്നും: [നിന്നും<cnj>,നിന്ന്<postp>ഉം<cnj>] | ആണ്: [ആണ്<aff>]",False,True
63,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിൽ ആണ്.,FOCUS/CLEFT,DETACHED,വൈകുന്നേരങ്ങളിൽ,NOUN,LOCATIVE_TEMPORAL,It is during the evenings that he learns to drive the new car.,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിൽ ആണ് .,അവൻ/PR_PRP പുതിയ/JJ കാർ/N_NN ഓടിച്ചു/V_VM_VF പഠിക്കുന്നത്/V_VM_VNF വൈകുന്നേരങ്ങളിൽ/N_NN ആണ്/V_VAUX ./RD_PUNC,"അവൻ: [അവൻ<prn>,അ<dem>അവൻ<prn>] | പുതിയ: [പുതിയ<adj>] | കാർ: [കാർ<eng>] | ഓടിച്ചു: [ഓടിക്കുക<v><past>,ഓടുക<v><causative-voice><past>] | പഠിക്കുന്നത്: [പഠിക്കുക<v><adv-clause-rp-present><n><deriv>,പഠിക്കുക<v><adv-clause-rp-present><n><deriv><adj>] | വൈകുന്നേരങ്ങളിൽ: [വൈകുന്നേരം<np><pl><locative>] | ആണ്: [ആണ്<aff>]",False,True
64,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെ ആണ്.,FOCUS/CLEFT,DETACHED,ശബ്ദത്തോടെ,NOUN,SOCIATIVE_MANNER,It was with a loud noise that that big vessel fell and broke on the floor.,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെ ആണ് .,ആ/DM_DMD വലിയ/JJ പാത്രം/N_NN നിലത്തുവീണു/V_VM_VNF പൊട്ടിയത്/N_NN വലിയ/JJ ശബ്ദത്തോടെ/N_NN ആണ്/V_VAUX ./RD_PUNC,"ആ: [ആ<ij>,ആ<dem>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | പാത്രം: [പാത്രം<n>] | നിലത്തുവീണു: [നിലം<n><locative><n-v-compound>വീഴുക<v><past>,നിലം<n><locative><adj><n-v-compound>വീഴുക<v><past>] | പൊട്ടിയത്: [പൊട്ടുക<v><adv-clause-rp-past><n><deriv>,പൊട്ടുക<v><adv-clause-rp-past><n><deriv><adj>] | വലിയ: [വലിയ<quantifier>,വലിയുക<v><cvb-adv-part-absolute>] | ശബ്ദത്തോടെ: [ശബ്ദം<n><sociative>എ<indeclinable>,ശബ്ദം<n><adj>തോട്<n>എ<indeclinable>] | ആണ്: [ആണ്<aff>]",False,True
65,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത് വളരെ ധൈര്യത്തോടെ ആണ്.,FOCUS/CLEFT,DETACHED,ധൈര്യത്തോടെ,NOUN,SOCIATIVE_MANNER,It was with great courage that the minister spoke during the meeting.,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത് വളരെ ധൈര്യത്തോടെ ആണ് .,മന്ത്രി/N_NN യോഗത്തിൽ/RB വെച്ച്/V_VM_VNF സംസാരിച്ചത്/V_VM_VNF വളരെ/RP_INTF ധൈര്യത്തോടെ/N_NN ആണ്/V_VAUX ./RD_PUNC,"മന്ത്രി: [മന്ത്രി<n>] | യോഗത്തിൽ: [യോഗം<n><locative>] | വെച്ച്: [വെച്ച്<postp>,വെയ്ക്കുക<v><cvb-adv-part-past>] | സംസാരിച്ചത്: [സംസാരിക്കുക<v><adv-clause-rp-past><n><deriv>,സംസാരിക്കുക<v><adv-clause-rp-past><n><deriv><adj>] | വളരെ: [വളരെ<quantifier>] | ധൈര്യത്തോടെ: [ധൈര്യം<n><sociative>എ<indeclinable>,ധൈര്യം<n><adj>തോട്<n>എ<indeclinable>] | ആണ്: [ആണ്<aff>]",False,True
66,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത് ബ്രഷുകൾ കൊണ്ട് ആണ്.,FOCUS/CLEFT,DETACHED,ബ്രഷുകൾ കൊണ്ട്,NOUN_POSTPOSITION,INSTRUMENTAL,It was with brushes that the students painted the beautiful picture.,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത് ബ്രഷുകൾ കൊണ്ട് ആണ് .,വിദ്യാർത്ഥികൾ/N_NN സുന്ദരമായ/JJ ചിത്രം/N_NN വരച്ചത്/N_NN ബ്രഷുകൾ/N_NN കൊണ്ട്/PSP ആണ്/V_VAUX ./RD_PUNC,"വിദ്യാർത്ഥികൾ: [വിദ്യാർത്ഥി<n><pl>] | സുന്ദരമായ: [സുന്ദരം<n>ആയ<cnj>,സുന്ദരം<n>ആയ<postp>] | ചിത്രം: [ചിത്രം<n>] | വരച്ചത്: [വരയ്ക്കുക<v><adv-clause-rp-past><n><deriv>,വരയ്ക്കുക<v><adv-clause-rp-past><n><deriv><adj>] | ബ്രഷുകൾ: [ബ്രഷ്<eng><pl>] | കൊണ്ട്: [കൊണ്ട്<cnj>,കൊണ്ട്<postp>] | ആണ്: [ആണ്<aff>]",False,True
