idx,english,original_ml,focus_word,focus_pos,tagged_input,route,constituent_type,status,final_output
32,,നാന്ദേഡിൽ ഏതാണ്ട് 1835ല്‍ സങ്കീർണ്ണമായ കൊത്തുപണികളുള്ള ഗംഭീരസ്വര്‍ണമകുടത്തോടുകൂടിയ മനോഹരവും അതിവിസ്മയകരവുമായ ഒരു ഗുരുദ്വാരയുടെ നിർമ്മാണത്തിന് മഹാരാജാ രഞ്ജിത്ത് സിങ്ങിൻ്റെ സംഭാവന ഉപകരിച്ചു.,അതിവിസ്മയകരവുമായ,JJ,നാന്ദേഡിൽ ഏതാണ്ട് 1835ല്‍ സങ്കീർണ്ണമായ കൊത്തുപണികളുള്ള ഗംഭീരസ്വര്‍ണമകുടത്തോടുകൂടിയ മനോഹരവും <FF>അതിവിസ്മയകരവുമായ<FF> ഒരു ഗുരുദ്വാരയുടെ നിർമ്മാണത്തിന് മഹാരാജാ രഞ്ജിത്ത് സിങ്ങിൻ്റെ സംഭാവന ഉപകരിച്ചു.,PE,,PE_ROUTED,നാന്ദേഡിൽ ഏതാണ്ട് 1835ല്‍ സങ്കീർണ്ണമായ കൊത്തുപണികളുള്ള ഗംഭീരസ്വര്‍ണമകുടത്തോടുകൂടിയ മനോഹരവും <PE>അതിവിസ്മയകരവുമായ</PE> ഒരു ഗുരുദ്വാരയുടെ നിർമ്മാണത്തിന് മഹാരാജാ രഞ്ജിത്ത് സിങ്ങിൻ്റെ സംഭാവന ഉപകരിച്ചു.
33,,"നിര്‍ദ്ദിഷ്ടഛന്ദസ്സുകളില്‍, അതായത് താളബദ്ധമായ വൃത്തങ്ങളനുസരിച്ച് സ്വരപ്പെടുത്തിയ ഈ തിരഞ്ഞെടുത്ത രുചകളുടെ സമാഹാരമാണ് സാമവേദം.",രുചകളുടെ,N_NN,"നിര്‍ദ്ദിഷ്ടഛന്ദസ്സുകളില്‍, അതായത് താളബദ്ധമായ വൃത്തങ്ങളനുസരിച്ച് സ്വരപ്പെടുത്തിയ ഈ തിരഞ്ഞെടുത്ത <FF>രുചകളുടെ<FF> സമാഹാരമാണ് സാമവേദം.",CLEFT,,UNRESOLVED,
34,,കോസലത്തിന്‍റെ തലസ്ഥാനത്തെക്കുറിച്ചുള്ള വാല്മീകിയുടെ വിവരണത്തിൽനിന്ന് പുരാതന അയോദ്ധ്യ നമ്മുടെ ആധുനിക നഗരങ്ങളെക്കാൾ പുറകിലല്ലെന്ന് വ്യക്തമാകുന്നു.,വാല്മീകിയുടെ,N_NN,കോസലത്തിന്‍റെ തലസ്ഥാനത്തെക്കുറിച്ചുള്ള <FF>വാല്മീകിയുടെ<FF> വിവരണത്തിൽനിന്ന് പുരാതന അയോദ്ധ്യ നമ്മുടെ ആധുനിക നഗരങ്ങളെക്കാൾ പുറകിലല്ലെന്ന് വ്യക്തമാകുന്നു.,CLEFT,,UNRESOLVED,
35,,ഞാൻ ചെയ്തുകൊള്ളാം' എന്ന് ഒരിക്കൽ പറഞ്ഞുകഴിഞ്ഞാൽ പിന്നെ നിങ്ങൾക്കത് ചെയ്യുകയല്ലാതെ പോംവഴിയില്ല.,നിങ്ങൾക്കത്,N_NN,ഞാൻ ചെയ്തുകൊള്ളാം' എന്ന് ഒരിക്കൽ പറഞ്ഞുകഴിഞ്ഞാൽ പിന്നെ <FF>നിങ്ങൾക്കത്<FF> ചെയ്യുകയല്ലാതെ പോംവഴിയില്ല.,CLEFT,,UNRESOLVED,
36,,ഈയടുത്ത ദിവസങ്ങളിലായി രൂപയുടെ വിനിമയ നിരക്കിലും നമ്മുടെ വിദേശ വിനിമയ കരുതൽ ധനത്തിൻ്റെ പര്യാപ്തതയിലും വ്യത്യസ്തങ്ങളായ അഭിപ്രായങ്ങളുണ്ടായിട്ടുണ്ട്.,വ്യത്യസ്തങ്ങളായ,JJ,ഈയടുത്ത ദിവസങ്ങളിലായി രൂപയുടെ വിനിമയ നിരക്കിലും നമ്മുടെ വിദേശ വിനിമയ കരുതൽ ധനത്തിൻ്റെ പര്യാപ്തതയിലും <FF>വ്യത്യസ്തങ്ങളായ<FF> അഭിപ്രായങ്ങളുണ്ടായിട്ടുണ്ട്.,PE,,PE_ROUTED,ഈയടുത്ത ദിവസങ്ങളിലായി രൂപയുടെ വിനിമയ നിരക്കിലും നമ്മുടെ വിദേശ വിനിമയ കരുതൽ ധനത്തിൻ്റെ പര്യാപ്തതയിലും <PE>വ്യത്യസ്തങ്ങളായ</PE> അഭിപ്രായങ്ങളുണ്ടായിട്ടുണ്ട്.
37,,സാമ്പത്തികസ്ഥിതി മെച്ചപ്പെടുത്താനായി രാജ്യങ്ങൾ പ്രവാസികളുടെ നേരിട്ടുള്ള നിക്ഷേപം പ്രോത്സാഹിപ്പിച്ചേക്കാം.,സാമ്പത്തികസ്ഥിതി,N_NN,<FF>സാമ്പത്തികസ്ഥിതി<FF> മെച്ചപ്പെടുത്താനായി രാജ്യങ്ങൾ പ്രവാസികളുടെ നേരിട്ടുള്ള നിക്ഷേപം പ്രോത്സാഹിപ്പിച്ചേക്കാം.,CLEFT,SUBJECT,NOT_SUPPORTED,
38,,"സ്വകാര്യമൂലധനം കുമിഞ്ഞുകൂടുന്നതിന്‍റെ ബലതന്ത്രം അനിവാര്യമായും സമ്പത്ത് അല്‍പം ചില കൈകളില്‍ കേന്ദ്രീകരിക്കാന്‍ ഇടയാക്കുമോ അതോ വളര്‍ച്ച, മത്സരം, സാങ്കേതികവിദ്യാമുന്നേറ്റം എന്നീ സമീകരിക്കുന്ന ശക്തികള്‍ അസമത്വം കുറയ്ക്കുമോ?",സാങ്കേതികവിദ്യാമുന്നേറ്റം,N_NN,"സ്വകാര്യമൂലധനം കുമിഞ്ഞുകൂടുന്നതിന്‍റെ ബലതന്ത്രം അനിവാര്യമായും സമ്പത്ത് അല്‍പം ചില കൈകളില്‍ കേന്ദ്രീകരിക്കാന്‍ ഇടയാക്കുമോ അതോ വളര്‍ച്ച, മത്സരം, <FF>സാങ്കേതികവിദ്യാമുന്നേറ്റം<FF> എന്നീ സമീകരിക്കുന്ന ശക്തികള്‍ അസമത്വം കുറയ്ക്കുമോ?",CLEFT,DIRECT_OBJECT,NOT_SUPPORTED,
39,,വിലയിലുള്ള അമിതമായ ഉയർച്ചതാഴ്ചകളെ പിടിച്ചുനിർത്താനും പ്രതീക്ഷകളെ പരിമിതപ്പെടുത്താനും അത് വിപണിയിൽ ഇടപെടുന്നു.,ഉയർച്ചതാഴ്ചകളെ,N_NN,വിലയിലുള്ള അമിതമായ <FF>ഉയർച്ചതാഴ്ചകളെ<FF> പിടിച്ചുനിർത്താനും പ്രതീക്ഷകളെ പരിമിതപ്പെടുത്താനും അത് വിപണിയിൽ ഇടപെടുന്നു.,CLEFT,,UNRESOLVED,
40,,സാമ്പത്തിക പ്രവർത്തനം പ്രതിരോധശക്തിയോടെ തന്നെ തുടരുന്നു എന്നാണ് രണ്ടാം മാസത്രയത്തിൻ്റെ ഉയർന്ന ഫ്രീക്വൻസി ഡാറ്റ സൂചിപ്പിക്കുന്നത്.,ഡാറ്റ,N_NN,സാമ്പത്തിക പ്രവർത്തനം പ്രതിരോധശക്തിയോടെ തന്നെ തുടരുന്നു എന്നാണ് രണ്ടാം മാസത്രയത്തിൻ്റെ ഉയർന്ന ഫ്രീക്വൻസി <FF>ഡാറ്റ<FF> സൂചിപ്പിക്കുന്നത്.,CLEFT,DIRECT_OBJECT,VALID,സാമ്പത്തിക പ്രവർത്തനം പ്രതിരോധശക്തിയോടെ തന്നെ തുടരുന്നത് എന്നാണ് രണ്ടാം മാസത്രയത്തിൻ്റെ ഉയർന്ന ഫ്രീക്വൻസി ഡാറ്റയാണ് സൂചിപ്പിക്കുന്നത്.
41,,"സ്ഥൂലസാമ്പത്തികശാസ്ത്രത്തിൽ വിഷയം സാമ്പത്തികവിദഗ്‌ദ്ധർ അഗ്രിഗേറ്റ് വേരിയബിളുകൾ എന്ന് വിളിക്കുന്ന, സാധാരണ ഒരു രാഷ്ട്രവും എല്ലാ വിപണികളും എങ്ങനെ പ്രതിപ്രവർത്തിക്കുകയും വലിയ പ്രതിഭാസമുണ്ടാക്കുകയും ചെയ്യുന്നു എന്നതാണ്.",പ്രതിഭാസമുണ്ടാക്കുകയും,N_NN,"സ്ഥൂലസാമ്പത്തികശാസ്ത്രത്തിൽ വിഷയം സാമ്പത്തികവിദഗ്‌ദ്ധർ അഗ്രിഗേറ്റ് വേരിയബിളുകൾ എന്ന് വിളിക്കുന്ന, സാധാരണ ഒരു രാഷ്ട്രവും എല്ലാ വിപണികളും എങ്ങനെ പ്രതിപ്രവർത്തിക്കുകയും വലിയ <FF>പ്രതിഭാസമുണ്ടാക്കുകയും<FF> ചെയ്യുന്നു എന്നതാണ്.",CLEFT,DIRECT_OBJECT,VALID,"സ്ഥൂലസാമ്പത്തികശാസ്ത്രത്തിൽ വിഷയം സാമ്പത്തികവിദഗ്‌ദ്ധർ അഗ്രിഗേറ്റ് വേരിയബിളുകൾ എന്ന് വിളിക്കുന്ന, സാധാരണ ഒരു രാഷ്ട്രവും എല്ലാ വിപണികളും എങ്ങനെ പ്രതിപ്രവർത്തിക്കുകയും വലിയ പ്രതിഭാസമുണ്ടാക്കുകയുമാണ് ചെയ്യുന്നത് എന്നതാണ്."
42,,കുറഞ്ഞ സമയത്തിനുള്ളിൽ സാമ്പത്തിക ആസ്തികൾ എത്രത്തോളം വിപണനമൂല്യത്തിനടുത്തായി വിൽക്കാം എന്നതിനെയാണ് ലിക്വിഡിറ്റി സൂചിപ്പിക്കുന്നത്.,സമയത്തിനുള്ളിൽ,N_NN,കുറഞ്ഞ <FF>സമയത്തിനുള്ളിൽ<FF> സാമ്പത്തിക ആസ്തികൾ എത്രത്തോളം വിപണനമൂല്യത്തിനടുത്തായി വിൽക്കാം എന്നതിനെയാണ് ലിക്വിഡിറ്റി സൂചിപ്പിക്കുന്നത്.,CLEFT,DATIVE_OBJECT,NEEDS_VERIFICATION,
43,,"വിശാലാർത്ഥത്തിൽ, വരുമാന നിർണ്ണയനയം വസ്തുനിഷ്ഠവും ആത്മനിഷ്ഠമായ പരിഗണനകൾക്കുപകരം വീണ്ടെടുപ്പുരേഖകളെ അടിസ്ഥാനപ്പെടുത്തുന്നതുമായിരിക്കണം.",വിശാലാർത്ഥത്തിൽ,N_NN,"<FF>വിശാലാർത്ഥത്തിൽ<FF>, വരുമാന നിർണ്ണയനയം വസ്തുനിഷ്ഠവും ആത്മനിഷ്ഠമായ പരിഗണനകൾക്കുപകരം വീണ്ടെടുപ്പുരേഖകളെ അടിസ്ഥാനപ്പെടുത്തുന്നതുമായിരിക്കണം.",CLEFT,,UNRESOLVED,
44,,അതുമൂലം അത്തരം പലിശത്തുകകളിൽ കുടിശ്ശിക വരാതിരിക്കുകയും അതിനാൽ പലിശ ഈടാക്കുന്ന ദിവസത്തെ അപേക്ഷിച്ച് എൻ. പി. എ ആവാതിരിക്കുകയും ചെയ്യുന്നു.,കുടിശ്ശിക,JJ,അതുമൂലം അത്തരം പലിശത്തുകകളിൽ <FF>കുടിശ്ശിക<FF> വരാതിരിക്കുകയും അതിനാൽ പലിശ ഈടാക്കുന്ന ദിവസത്തെ അപേക്ഷിച്ച് എൻ. പി. എ ആവാതിരിക്കുകയും ചെയ്യുന്നു.,PE,,PE_ROUTED,അതുമൂലം അത്തരം പലിശത്തുകകളിൽ <PE>കുടിശ്ശിക</PE> വരാതിരിക്കുകയും അതിനാൽ പലിശ ഈടാക്കുന്ന ദിവസത്തെ അപേക്ഷിച്ച് എൻ. പി. എ ആവാതിരിക്കുകയും ചെയ്യുന്നു.
45,,വ്യവസായ (രാസവളം) ശാലകളും വിദ്യുച്ഛക്തി നിലയങ്ങളും പ്രവർത്തിപ്പിക്കാൻ ഉപയോഗിക്കപ്പെടുന്നതിനാൽ ദ്രവീകൃത പ്രകൃതി വാതകം (എൽ. എൻ. ജി) ഊർജ്ജമേഖലയിൽ വലിയ പ്രാധാന്യം കൈവരിച്ചുകൊണ്ടിരിക്കുകയാണ്.,ശാലകളും,N_NN,വ്യവസായ (രാസവളം) <FF>ശാലകളും<FF> വിദ്യുച്ഛക്തി നിലയങ്ങളും പ്രവർത്തിപ്പിക്കാൻ ഉപയോഗിക്കപ്പെടുന്നതിനാൽ ദ്രവീകൃത പ്രകൃതി വാതകം (എൽ. എൻ. ജി) ഊർജ്ജമേഖലയിൽ വലിയ പ്രാധാന്യം കൈവരിച്ചുകൊണ്ടിരിക്കുകയാണ്.,CLEFT,DIRECT_OBJECT,VALID,വ്യവസായ (രാസവളം) ശാലകളുമാണ് വിദ്യുച്ഛക്തി നിലയങ്ങളും പ്രവർത്തിപ്പിക്കാൻ ഉപയോഗിക്കപ്പെടുന്നതിനാൽ ദ്രവീകൃത പ്രകൃതി വാതകം (എൽ. എൻ. ജി) ഊർജ്ജമേഖലയിൽ വലിയ പ്രാധാന്യം കൈവരിച്ചുകൊണ്ടിരിക്കുക.
46,,"എന്നാൽ, വിപണനകേന്ദ്രങ്ങൾ വില്പന വർദ്ധിപ്പിക്കാൻ നിങ്ങളെ അനുവദിക്കുമെങ്കിലും ഒരു സുസ്ഥിരമായ ബിസിനസ്സ് വളർത്താനും വിപണനത്തിനുതകുന്ന നിങ്ങളുടേതായ ഒരു സ്വന്തം ബ്രാൻഡ് സൃഷ്ടിക്കാനും അവ നിങ്ങളെ പ്രാപ്തരാക്കുകയില്ല.",നിങ്ങളെ,PR_PRP,"എന്നാൽ, വിപണനകേന്ദ്രങ്ങൾ വില്പന വർദ്ധിപ്പിക്കാൻ <FF>നിങ്ങളെ<FF> അനുവദിക്കുമെങ്കിലും ഒരു സുസ്ഥിരമായ ബിസിനസ്സ് വളർത്താനും വിപണനത്തിനുതകുന്ന നിങ്ങളുടേതായ ഒരു സ്വന്തം ബ്രാൻഡ് സൃഷ്ടിക്കാനും അവ നിങ്ങളെ പ്രാപ്തരാക്കുകയില്ല.",CLEFT,DIRECT_OBJECT,UNRESOLVED,
47,,"എന്നാൽ, ഓൺലൈൻ ഇടപാടുകളോ ഇ-കൊമേഴ്‌സ് ഇടപാടുകളോ നടത്തിക്കൊടുക്കുന്ന പേയ്മെൻ്റ് അഗ്രഗേറ്ററുകൾക്ക് നിലവിലെ നിബന്ധനകൾ ബാധകമാണ്.",നിലവിലെ,N_NN,"എന്നാൽ, ഓൺലൈൻ ഇടപാടുകളോ ഇ-കൊമേഴ്‌സ് ഇടപാടുകളോ നടത്തിക്കൊടുക്കുന്ന പേയ്മെൻ്റ് അഗ്രഗേറ്ററുകൾക്ക് <FF>നിലവിലെ<FF> നിബന്ധനകൾ ബാധകമാണ്.",CLEFT,LOCATION,VALID,"എന്നാൽ, ഓൺലൈൻ ഇടപാടുകളോ ഇ-കൊമേഴ്‌സ് ഇടപാടുകളോ നടത്തിക്കൊടുക്കുന്ന പേയ്മെൻ്റ് അഗ്രഗേറ്ററുകൾക്ക് നിലവിലെയാണ് നിബന്ധനകൾ ബാധകം."
48,,"ഒരു വർഷം മുമ്പത്തെ 6.7 ശതമാനത്തിനെതിരെ, വർഷങ്ങൾ തമ്മിൽ താരതമ്യം ചെയ്യുമ്പോൾ, 2022 സെപ്തംബർ 9 തിലെ കണക്കനുസരിച്ച് 16.2 ശതമാനത്തിലേക്ക് അധികവേഗതയിൽ ബാങ്ക് ക്രെഡിറ്റ് വളർന്നു.",തമ്മിൽ,PR_PRC,"ഒരു വർഷം മുമ്പത്തെ 6.7 ശതമാനത്തിനെതിരെ, വർഷങ്ങൾ <FF>തമ്മിൽ<FF> താരതമ്യം ചെയ്യുമ്പോൾ, 2022 സെപ്തംബർ 9 തിലെ കണക്കനുസരിച്ച് 16.2 ശതമാനത്തിലേക്ക് അധികവേഗതയിൽ ബാങ്ക് ക്രെഡിറ്റ് വളർന്നു.",CLEFT,VP_ACTION,LATER_PHASE,
49,,"വിളവെടുപ്പിനുമുമ്പും വിളവെടുപ്പിനുശേഷവുമുള്ള പ്രവർത്തനങ്ങൾക്കുള്ള വായ്പകൾ സ്വന്തം കാർഷികവിളകളുടെ തളിക്കൽ, കളപറിക്കൽ, വിളവെടുപ്പ്, തരംതിരിക്കൽ, ഗ്രേഡ് ചെയ്യൽ, കടത്തിക്കൊണ്ടുപോകൽ എന്നിവയ്ക്കുള്ളതാണ്.",വിളവെടുപ്പിനുമുമ്പും,N_NN,"<FF>വിളവെടുപ്പിനുമുമ്പും<FF> വിളവെടുപ്പിനുശേഷവുമുള്ള പ്രവർത്തനങ്ങൾക്കുള്ള വായ്പകൾ സ്വന്തം കാർഷികവിളകളുടെ തളിക്കൽ, കളപറിക്കൽ, വിളവെടുപ്പ്, തരംതിരിക്കൽ, ഗ്രേഡ് ചെയ്യൽ, കടത്തിക്കൊണ്ടുപോകൽ എന്നിവയ്ക്കുള്ളതാണ്.",CLEFT,DATIVE_OBJECT,VALID,"വിളവെടുപ്പിനുമുമ്പുമാണ് വിളവെടുപ്പിനുശേഷവുമുള്ള പ്രവർത്തനങ്ങൾക്കുള്ള വായ്പകൾ സ്വന്തം കാർഷികവിളകളുടെ തളിക്കൽ, കളപറിക്കൽ, വിളവെടുപ്പ്, തരംതിരിക്കൽ, ഗ്രേഡ് ചെയ്യൽ, കടത്തിക്കൊണ്ടുപോകൽ എന്നിവയ്ക്കുള്ളത്."
50,,"കൃഷിക്കും അനുബന്ധപ്രവര്‍ത്തനങ്ങള്‍ക്കുമുള്ള മദ്ധ്യകാല, ദീര്‍ഘകാല, വായ്പകള്‍ കാർഷികയന്ത്രങ്ങൾ വാങ്ങുന്നതിനും ജലസേചനത്തിനും കൃഷിഭൂമിയില്‍ ഏറ്റെടുക്കേണ്ട വികസനപ്രവര്‍ത്തനങ്ങള്‍ക്കും പ്രയോജനപ്പെടുന്നു.",മദ്ധ്യകാല,N_NN,"കൃഷിക്കും അനുബന്ധപ്രവര്‍ത്തനങ്ങള്‍ക്കുമുള്ള <FF>മദ്ധ്യകാല<FF>, ദീര്‍ഘകാല, വായ്പകള്‍ കാർഷികയന്ത്രങ്ങൾ വാങ്ങുന്നതിനും ജലസേചനത്തിനും കൃഷിഭൂമിയില്‍ ഏറ്റെടുക്കേണ്ട വികസനപ്രവര്‍ത്തനങ്ങള്‍ക്കും പ്രയോജനപ്പെടുന്നു.",CLEFT,,UNRESOLVED,
