id,sentence,category,clause_type,surface_order,semantic_subject_S,semantic_object_comp_O,semantic_verb_copula_V,case_role,presupposition_clause,focus_constituent,meaning
72,അവൾ കോളേജിൽ എത്തിയത് തൻ്റെ സ്വന്തം സ്കൂട്ടറിൽ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE_INSTRUMENTAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവൾ,തൻ്റെ സ്വന്തം സ്കൂട്ടറിൽ [LOCATIVE_INSTRUMENTAL],എത്തിയത് (Nominalized Lexical Verb),LOCATIVE_INSTRUMENTAL,അവൾ കോളേജിൽ എത്തിയത്,തൻ്റെ സ്വന്തം സ്കൂട്ടറിൽ,It was on her own scooter that she arrived at the college.
73,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത് ചുഴലിക്കാറ്റ് മൂലം ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (CAUSAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ആ,ചുഴലിക്കാറ്റ് മൂലം [CAUSAL],വീണത് (Nominalized Lexical Verb),CAUSAL,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത്,ചുഴലിക്കാറ്റ് മൂലം,It was due to the cyclone that all those big trees fell uprooted.
74,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത് ഇന്നലെ അർദ്ധരാത്രിയിൽ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (LOCATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],വിദേശത്തു,ഇന്നലെ അർദ്ധരാത്രിയിൽ [LOCATIVE_TEMPORAL],എത്തിയത് (Nominalized Lexical Verb),LOCATIVE_TEMPORAL,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത്,ഇന്നലെ അർദ്ധരാത്രിയിൽ,It was at midnight yesterday that my friend arrived from abroad.
75,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത് നാളെ ആണ്.,FOCUS/CLEFT (DETACHED),Cleft (NOMINATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],നീ,നാളെ [NOMINATIVE_TEMPORAL],ചെയ്യേണ്ടത് (Nominalized Lexical Verb),NOMINATIVE_TEMPORAL,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത്,നാളെ,It is tomorrow that you must perform this hard work.
76,അധ്യാപകൻ ശിക്ഷിച്ചത് ആ കുസൃതിക്കാരൻ കുട്ടിയെയാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (ACCUSATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അധ്യാപകൻ,ആ കുസൃതിക്കാരൻ കുട്ടിയെയാണ് [ACCUSATIVE],ശിക്ഷിച്ചത് (Nominalized Lexical Verb),ACCUSATIVE,അധ്യാപകൻ ശിക്ഷിച്ചത്,ആ കുസൃതിക്കാരൻ കുട്ടിയെയാണ്,It was that mischievous child whom the teacher punished.
77,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത് രാഹുലിനെയാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (ACCUSATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ഞാൻ,രാഹുലിനെയാണ് [ACCUSATIVE],കണ്ടത് (Nominalized Lexical Verb),ACCUSATIVE,ഞാൻ ഇന്നലെ വൈകിട്ട് കണ്ടത്,രാഹുലിനെയാണ്,It was Rahul whom I saw yesterday evening.
78,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത് നിലത്താണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],കുട്ടി,നിലത്താണ് [LOCATIVE],പൊട്ടിച്ചത് (Nominalized Lexical Verb),LOCATIVE,കുട്ടി കളിപ്പാട്ടം എറിഞ്ഞു പൊട്ടിച്ചത്,നിലത്താണ്,It was on the floor that the child threw and broke the toy.
79,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത് ജന്മദിനത്തിലാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അമ്മയ്ക്ക്,ജന്മദിനത്തിലാണ് [LOCATIVE],നൽകിയത് (Nominalized Lexical Verb),LOCATIVE,അമ്മയ്ക്ക് ഞങ്ങൾ സമ്മാനം നൽകിയത്,ജന്മദിനത്തിലാണ്,It was on her birthday that we gave mother a gift.
80,അച്ഛൻ വണ്ടി ഓടിച്ചത് വളരെ വേഗത്തിലാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അച്ഛൻ,വളരെ വേഗത്തിലാണ് [LOCATIVE_MANNER],ഓടിച്ചത് (Nominalized Lexical Verb),LOCATIVE_MANNER,അച്ഛൻ വണ്ടി ഓടിച്ചത്,വളരെ വേഗത്തിലാണ്,It was very fast that father drove the vehicle.
81,അവൻ ആ തടിയൻ മരം മുറിച്ചത് ഈ വലിയ കോടാലി കൊണ്ടാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (INSTRUMENTAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവൻ,ഈ വലിയ കോടാലി കൊണ്ടാണ് [INSTRUMENTAL],മുറിച്ചത് (Nominalized Lexical Verb),INSTRUMENTAL,അവൻ ആ തടിയൻ മരം മുറിച്ചത്,ഈ വലിയ കോടാലി കൊണ്ടാണ്,It was with this big axe that he cut that thick tree.
82,അവർ പരീക്ഷ പാസായത് കഠിനമായ അധ്വാനം മൂലമാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (CAUSAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവർ,കഠിനമായ അധ്വാനം മൂലമാണ് [CAUSAL],പാസായത് (Nominalized Lexical Verb),CAUSAL,അവർ പരീക്ഷ പാസായത്,കഠിനമായ അധ്വാനം മൂലമാണ്,It was due to hard work that they passed the exam.
83,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത് അവളാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (NOMINATIVE_SUBJECT),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],എനിക്ക്,അവളാണ് [NOMINATIVE_SUBJECT],പറഞ്ഞുതന്നത് (Nominalized Lexical Verb),NOMINATIVE_SUBJECT,എനിക്ക് രഹസ്യം പറഞ്ഞുതന്നത്,അവളാണ്,It is she who told me the secret.
84,രാഹുൽ സമ്മാനം അയച്ചത് ആ കൊച്ചു പെൺകുട്ടിക്കാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (DATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],രാഹുൽ,ആ കൊച്ചു പെൺകുട്ടിക്കാണ് [DATIVE],അയച്ചത് (Nominalized Lexical Verb),DATIVE,രാഹുൽ സമ്മാനം അയച്ചത്,ആ കൊച്ചു പെൺകുട്ടിക്കാണ്,It was to that little girl that Rahul sent the gift.
85,ഞങ്ങൾ വിമാനം കയറേണ്ടത് നാലുമണിക്കാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (DATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ഞങ്ങൾ,നാലുമണിക്കാണ് [DATIVE_TEMPORAL],കയറേണ്ടത് (Nominalized Lexical Verb),DATIVE_TEMPORAL,ഞങ്ങൾ വിമാനം കയറേണ്ടത്,നാലുമണിക്കാണ്,It is at four o'clock that we have to board the flight.
86,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത് പെട്ടെന്നാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],പൂച്ച,പെട്ടെന്നാണ് [MANNER],ചാടിയത് (Nominalized Lexical Verb),MANNER,പൂച്ച മേശപ്പുറത്തു നിന്നും താഴേക്ക് ചാടിയത്,പെട്ടെന്നാണ്,It was suddenly that the cat jumped down from the table.
87,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത് വലിയ കടയിൽ നിന്നാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (ABLATIVE_LOCATION),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ലക്ഷ്മി,വലിയ കടയിൽ നിന്നാണ് [ABLATIVE_LOCATION],വാങ്ങിയത് (Nominalized Lexical Verb),ABLATIVE_LOCATION,ലക്ഷ്മി പുതിയ പുസ്തകം വാങ്ങിയത്,വലിയ കടയിൽ നിന്നാണ്,It was from the big shop that Lakshmi bought the new book.
88,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത് വൈകുന്നേരങ്ങളിലാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവൻ,വൈകുന്നേരങ്ങളിലാണ് [LOCATIVE_TEMPORAL],പഠിക്കുന്നത് (Nominalized Lexical Verb),LOCATIVE_TEMPORAL,അവൻ പുതിയ കാർ ഓടിച്ചു പഠിക്കുന്നത്,വൈകുന്നേരങ്ങളിലാണ്,It is during the evenings that he learns to drive the new car.
89,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത് വലിയ ശബ്ദത്തോടെയാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (SOCIATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ആ,വലിയ ശബ്ദത്തോടെയാണ് [SOCIATIVE_MANNER],പൊട്ടിയത് (Nominalized Lexical Verb),SOCIATIVE_MANNER,ആ വലിയ പാത്രം നിലത്തുവീണു പൊട്ടിയത്,വലിയ ശബ്ദത്തോടെയാണ്,It was with a loud noise that that big vessel fell and broke on the floor.
90,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത് വളരെ ധൈര്യത്തോടെയാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (SOCIATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],മന്ത്രി,വളരെ ധൈര്യത്തോടെയാണ് [SOCIATIVE_MANNER],സംസാരിച്ചത് (Nominalized Lexical Verb),SOCIATIVE_MANNER,മന്ത്രി യോഗത്തിൽ വെച്ച് സംസാരിച്ചത്,വളരെ ധൈര്യത്തോടെയാണ്,It was with great courage that the minister spoke during the meeting.
91,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത് ബ്രഷുകൾ കൊണ്ടാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (INSTRUMENTAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],വിദ്യാർത്ഥികൾ,ബ്രഷുകൾ കൊണ്ടാണ് [INSTRUMENTAL],വരച്ചത് (Nominalized Lexical Verb),INSTRUMENTAL,വിദ്യാർത്ഥികൾ സുന്ദരമായ ചിത്രം വരച്ചത്,ബ്രഷുകൾ കൊണ്ടാണ്,It was with brushes that the students painted the beautiful picture.
92,കനത്ത മഴ കാരണമാണ് കളി മാറ്റിവെച്ചത്.,FOCUS/CLEFT (ATTACHED),Fronted Causal Cleft,FOC (Cause) - COP - S - V,കളി,കനത്ത മഴ കാരണം (Causal Focus),മാറ്റിവെക്കുക (മാറ്റിവെച്ചത്),CAUSAL_SUBJECT,കളി മാറ്റിവെച്ചത്,മഴ കാരണം,It was because of the heavy rain that the match was postponed.
93,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത് ഈ രഹസ്യ മുറിയിലാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],തമ്പുരാൻ്റെ,ഈ രഹസ്യ മുറിയിലാണ് [LOCATIVE],വെച്ചിരിക്കുന്നത് (Nominalized Lexical Verb),LOCATIVE,തമ്പുരാൻ്റെ രത്നങ്ങൾ ഒളിപ്പിച്ചു വെച്ചിരിക്കുന്നത്,ഈ രഹസ്യ മുറിയിലാണ്,It is in this secret room that the king's jewels are hidden.
94,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത് കോട്ടയത്താണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ഞങ്ങൾ,കോട്ടയത്താണ് [LOCATIVE],താമസിച്ചത് (Nominalized Lexical Verb),LOCATIVE,ഞങ്ങൾ കഴിഞ്ഞ മാസം താമസിച്ചത്,കോട്ടയത്താണ്,It was in Kottayam that we stayed last month.
95,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത് വളരെ ശ്രദ്ധയോടെയാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (SOCIATIVE_MANNER),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],പരീക്ഷ,വളരെ ശ്രദ്ധയോടെയാണ് [SOCIATIVE_MANNER],ഉപയോഗിക്കുന്നത് (Nominalized Lexical Verb),SOCIATIVE_MANNER,പരീക്ഷ എഴുതാൻ കുട്ടികൾ പേന ഉപയോഗിക്കുന്നത്,വളരെ ശ്രദ്ധയോടെയാണ്,It is with great care that the children use the pen to write the exam.
96,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത് അടുക്കളയിലെ കുപ്പിയിലാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അമ്മ,അടുക്കളയിലെ കുപ്പിയിലാണ് [LOCATIVE],സൂക്ഷിക്കുന്നത് (Nominalized Lexical Verb),LOCATIVE,അമ്മ പലഹാരങ്ങൾ ഉണ്ടാക്കി സൂക്ഷിക്കുന്നത്,അടുക്കളയിലെ കുപ്പിയിലാണ്,It is in the jar in the kitchen that mother keeps the snacks made.
97,അവൾ കോളേജിൽ എത്തിയത് തൻ്റെ സ്വന്തം സ്കൂട്ടറിലാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE_INSTRUMENTAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],അവൾ,തൻ്റെ സ്വന്തം സ്കൂട്ടറിലാണ് [LOCATIVE_INSTRUMENTAL],എത്തിയത് (Nominalized Lexical Verb),LOCATIVE_INSTRUMENTAL,അവൾ കോളേജിൽ എത്തിയത്,തൻ്റെ സ്വന്തം സ്കൂട്ടറിലാണ്,It was on her own scooter that she arrived at the college.
98,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത് ചുഴലിക്കാറ്റ് മൂലമാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (CAUSAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],ആ,ചുഴലിക്കാറ്റ് മൂലമാണ് [CAUSAL],വീണത് (Nominalized Lexical Verb),CAUSAL,ആ വലിയ മരങ്ങൾ മുഴുവൻ കടപുഴകി വീണത്,ചുഴലിക്കാറ്റ് മൂലമാണ്,It was due to the cyclone that all those big trees fell uprooted.
99,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത് ഇന്നലെ അർദ്ധരാത്രിയിലാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (LOCATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],വിദേശത്തു,ഇന്നലെ അർദ്ധരാത്രിയിലാണ് [LOCATIVE_TEMPORAL],എത്തിയത് (Nominalized Lexical Verb),LOCATIVE_TEMPORAL,വിദേശത്തു നിന്നും എൻ്റെ കൂട്ടുകാരൻ എത്തിയത്,ഇന്നലെ അർദ്ധരാത്രിയിലാണ്,It was at midnight yesterday that my friend arrived from abroad.
100,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത് നാളെയാണ്.,FOCUS/CLEFT (ATTACHED),Cleft (NOMINATIVE_TEMPORAL),Presupposition Clause [S + V_nom] - FOC [O/Adjunct] - COP [V],നീ,നാളെയാണ് [NOMINATIVE_TEMPORAL],ചെയ്യേണ്ടത് (Nominalized Lexical Verb),NOMINATIVE_TEMPORAL,നീ ഈ കഠിനമായ ജോലി ചെയ്യേണ്ടത്,നാളെയാണ്,It is tomorrow that you must perform this hard work.
