English Sentence,Malayalam Sentence,Google Translate,IndicTrans2,BhashaVerse
"That's not being politically active, that's being bureaucratically active.",അത് രാഷ്ട്രീയമായി സക്രിയമാകുന്നതല്ല അത് ഉദ്യോഗ തലത്തിൽ സക്രിയമാകലാണ്.,"അത് രാഷ്ട്രീയമായി സജീവമായല്ല, ഉദ്യോഗസ്ഥതലത്തിൽ സജീവമാണ്.","അത് രാഷ്ട്രീയമായി സജീവമായിരിക്കുകയല്ല, മറിച്ച് ബ്യൂറോക്രാറ്റിക്കായി സജീവമായിരിക്കുക എന്നതിലാണ് അർത്ഥം...................................................................................................................................................................................................................................","അത് രാഷ്ട്രീയമായി സജീവമാകുകയല്ല, ബ്യൂറോക്രാറ്റിക് ആക്ടിവിസമാണ്."
"Now for those of us who've given up on government, it's time that we asked ourselves about the world that we want to leave for our children.",ഇനി നമ്മളിലാരൊക്കെയാണോ ഗവണ്മെന്റിനെ ഉപേക്ഷിച്ചത് ഇപ്പോൾ സമയം വന്നെത്തിയിരിക്കുകയാണ് - ആ ചോദ്യം സ്വയം ചോദിക്കുവാൻ നമ്മൾ നമ്മുടെ കുഞ്ഞുങ്ങൾക്കായി ബാക്കിയാക്കാൻ പോകുന്ന ലോകത്തിനെ പറ്റിയുള്ള ചോദ്യം,"ഇപ്പോൾ ഭരണം കൈവിട്ടുപോയ നമുക്കിടയിൽ, നമ്മുടെ മക്കൾക്ക് വിട്ടുകൊടുക്കാൻ ആഗ്രഹിക്കുന്ന ലോകത്തെ കുറിച്ച് നമ്മൾ സ്വയം ചോദിക്കേണ്ട സമയമാണിത്.","ഇപ്പോൾ നമ്മളിൽ സർക്കാർ ഉപേക്ഷിച്ചവരെ സംബന്ധിച്ചിടത്തോളം, നമ്മുടെ കുട്ടികൾക്കായി ഉപേക്ഷിക്കാൻ ആഗ്രഹിക്കുന്ന ലോകത്തെക്കുറിച്ച് നമ്മൾ സ്വയം ചോദിക്കേണ്ട സമയമാണിത്..............................................................................................................................................................................................................................","ഇപ്പോൾ ഗവൺമെന്റിനെ ഉപേക്ഷിച്ച നമുക്ക്, നമ്മുടെ കുട്ടികൾക്കായി ഉപേക്ഷിക്കാൻ ആഗ്രഹിക്കുന്ന ലോകത്തെക്കുറിച്ച് സ്വയം ചോദിക്കേണ്ട സമയമാണിത്."
"So the question I have for all of you here: When it comes to the big, important things that we need to do together, all of us together, are we just going to be a crowd of voices, or are we also going to be a crowd of hands?","എനിക്കു നിങ്ങളോടെല്ലാമുള്ള ചോദ്യമിതാണ് വലിയ പ്രാധാന്യമുള്ള കാര്യങ്ങൾ വരുമ്പോൾ നമ്മൾ ഒരുമിച്ചു ചെയ്യേണ്ട കാര്യങ്ങൾ ഉണ്ടാകുമ്പോൾ നാമൊരുമിച്ച് നമ്മൾ ഒരു കൂട്ടം ശബ്ദങ്ങളാവുമോ, അതോ നമ്മൾ ഒരു കൂട്ടം കൈകളാവുമോ?","അതിനാൽ ഇവിടെ നിങ്ങളോടെല്ലാവരോടും എനിക്കുള്ള ചോദ്യം: നമ്മൾ എല്ലാവരും ഒരുമിച്ച് ചെയ്യേണ്ട വലിയതും പ്രധാനപ്പെട്ടതുമായ കാര്യങ്ങളിൽ വരുമ്പോൾ, നമ്മൾ ശബ്ദങ്ങളുടെ ഒരു ജനക്കൂട്ടമായി മാറുകയാണോ അതോ നമ്മളും കൈകളുടെ ഒരു കൂട്ടമാകാൻ പോകുകയാണോ?","അതിനാൽ ഇവിടെ നിങ്ങൾക്കെല്ലാവർക്കുമുള്ള ചോദ്യം ഇതാണ്ഃ നമ്മൾ ഒരുമിച്ച് ചെയ്യേണ്ട വലുതും പ്രധാനപ്പെട്ടതുമായ കാര്യങ്ങളെക്കുറിച്ച് പറയുമ്പോൾ, നാമെല്ലാവരും ഒരുമിച്ച്, നമ്മൾ ശബ്ദങ്ങളുടെ ഒരു കൂട്ടമാകാൻ പോകുകയാണോ, അതോ നമ്മളും കൈകളുടെ ഒരു കൂട്ടമാകാൻ പോകുകയാണോ?................................................................................................................................................................................................","അതിനാൽ എനിക്ക് ഇവിടെ നിങ്ങൾക്കെല്ലാവരോടും ഒരു ചോദ്യമുണ്ട്ഃ നാം ഒരുമിച്ച് ചെയ്യേണ്ട വലിയതും പ്രധാനപ്പെട്ടതുമായ കാര്യങ്ങളെക്കുറിച്ച് പറയുമ്പോൾ, നാമെല്ലാവരും ഒരുമിച്ച്, നമ്മൾ വെറും ശബ്ദങ്ങളുടെ ഒരു ജനക്കൂട്ടമാകാൻ പോകുകയാണോ, അതോ നമ്മളും കൈകളുടെ ഒരു ജനകൂട്ടമാകുമോ?"
"A third explanation invokes the concept of a nonzero-sum game, and was worked out in the book Nonzero by the journalist Robert Wright.",മൂനാമത്തെ വിശദീകരണം നോണ് -സീറോ-സം-ഗേം എന്ന ആശയമാണ് റോബെറ്ട്ട റൈറ്റ് എന്ന പത്രകാരന് തന്റൊ പുസ്തകത്തില് മുന്പോoട്ടു വക്കുന്നതു.,"മൂന്നാമത്തെ വിശദീകരണം ഒരു നോൺ-സീറോ-സം ഗെയിം എന്ന ആശയം ആവശ്യപ്പെടുന്നു, കൂടാതെ പത്രപ്രവർത്തകനായ റോബർട്ട് റൈറ്റ് നോൺസീറോ എന്ന പുസ്തകത്തിൽ ഇത് തയ്യാറാക്കിയിട്ടുണ്ട്.","മൂന്നാമത്തെ വിശദീകരണം പൂജ്യമല്ലാത്ത ഒരു ഗെയിം എന്ന ആശയം അഭ്യർത്ഥിക്കുന്നു, ഇത് പത്രപ്രവർത്തകനായ റോബർട്ട് റൈറ്റ് നോൺസീറോ എന്ന പുസ്തകത്തിൽ തയ്യാറാക്കി........................................................................................................................................................................................................................","മൂന്നാമത്തെ വിശദീകരണം ഒരു നോൺസീറോ-സം ഗെയിം എന്ന ആശയം വിളിച്ചുപറയുന്നു, പത്ര റോബർട്ട് റൈറ്റ് എഴുതിയ നോൺ സീറോ എന്ന പുസ്തകത്തിൽ ഇത് രൂപപ്പെടുത്തിയിരിക്കുന്നു."
They did so illegally.,അവരങ്ങനെ ചെയ്തത് അനതികൃതമായാണ്,നിയമവിരുദ്ധമായാണ് അവർ അത് ചെയ്തത്.,നിയമവിരുദ്ധമായാണ് അവർ ഇത് ചെയ്തത്........................................................................................................................................................................................................................................................,നിയമവിരുദ്ധമായാണ് അവർ അങ്ങനെ ചെയ്തത്.
Now why would they return to such deadly soil?,എന്തുകൊണ്ടാണ് അവര് അങ്ങനത്തെ ജീവനാശകമായ മണ്ണിലേക്ക് തിരിച്ചു പോകുന്നത്?,ഇനി എന്തിനാണ് അവർ ഇത്രയും മാരകമായ മണ്ണിലേക്ക് മടങ്ങുന്നത്?,ഇപ്പോൾ എന്തുകൊണ്ടാണ് അവർ അത്തരമൊരു മാരകമായ മണ്ണിലേക്ക് മടങ്ങുന്നത്?................................................................................................................................................................................................................................................,ഇപ്പോൾ എന്തുകൊണ്ടാണ് അവർ ഇത്ര മാരകമായ മണ്ണിലേക്ക് മടങ്ങിവരുന്നത്?
"Others have a few residents in them, one or two babushkas, or babas, which are the Russian and Ukrainian words for grandmother.",മറ്റു ചിലതില് കുറച്ചു ആളുകള് ഉണ്ട് ഒന്നോ രണ്ടോ 'ബാബുശ്ക' കളോ..'ബാബാ' മാരോ അങ്ങനെയാണ് റഷ്യയിലും ഉക്രയിനിലും മുത്തശ്ശിമാരെ വിളിക്കുന്നത്,"മറ്റുള്ളവർക്ക് അവയിൽ കുറച്ച് താമസക്കാരുണ്ട്, ഒന്നോ രണ്ടോ ബാബുഷ്കകൾ അല്ലെങ്കിൽ ബാബകൾ, മുത്തശ്ശി എന്നതിൻ്റെ റഷ്യൻ, ഉക്രേനിയൻ പദങ്ങളാണ്.","മറ്റുള്ളവയിൽ കുറച്ച് താമസക്കാരുണ്ട്, ഒന്നോ രണ്ടോ ബാബുഷ്കകൾ, അല്ലെങ്കിൽ ബാബകൾ, മുത്തശ്ശിയെ സൂചിപ്പിക്കുന്ന റഷ്യൻ, ഉക്രേനിയൻ പദങ്ങളാണ് അവ.........................................................................................................................................................................................................................","മറ്റുള്ളവർക്ക് അവയിൽ കുറച്ച് താമസക്കാരുണ്ട്, ഒന്നോ രണ്ടോ ബാബുഷ്കകൾ അല്ലെങ്കിൽ ബാബകൾ, അവ അമ്മൂമ്മയുടെ റഷ്യൻ, ഉക്രേനിയൻ പദങ്ങളാണ്."
"She's the self-declared mayor of Kapavati village, population eight.",അവളാണ് കപാവതി ഗ്രാമത്തി ന്റെ സ്വയം പ്രഖ്യാപിത മേയര് ജനസംഖ്യ 8,എട്ട് ജനസംഖ്യയുള്ള കപാവതി ഗ്രാമത്തിൻ്റെ സ്വയം പ്രഖ്യാപിത മേയറാണ് അവർ.,എട്ടാമത്തെ ജനസംഖ്യയുള്ള കപാവതി ഗ്രാമത്തിലെ സ്വയം പ്രഖ്യാപിത മേയറാണ് അവർ.,എട്ട് ജനസംഖ്യയുള്ള കപാവതി ഗ്രാമത്തിന്റെ സ്വയം പ്രഖ്യാപിത മേയറാണ് അവർ.
It turns out this holds true for other species as well.,ഇത് സത്യമാണ് ഏതു ഇനം ജീവികള്ക്കും,മറ്റ് ജീവജാലങ്ങൾക്കും ഇത് ശരിയാണെന്ന് ഇത് മാറുന്നു.,മറ്റ് ജീവജാലങ്ങൾക്കും ഇത് ബാധകമാണെന്ന് തെളിഞ്ഞു.,മറ്റ് ജീവജാലങ്ങൾക്കും ഇത് ബാധകമാണെന്ന് തെളിഞ്ഞു.
It's incredibly difficult to parse.,വിവരിക്കുക അവിശ്വസനീയമായ രീതിയിൽ ബുദ്ടിമുട്ടാണ്,പാഴ്‌സ് ചെയ്യുന്നത് അവിശ്വസനീയമാംവിധം ബുദ്ധിമുട്ടാണ്.,പാഴ്സ് ചെയ്യുന്നത് അവിശ്വസനീയമാംവിധം ബുദ്ധിമുട്ടാണ്.,അത് പാഴ്സ് ചെയ്യാൻ അവിശ്വസനീയമാംവിധം പ്രയാസമാണ്.
Greenpeace and other organizations put that number in the tens of thousands.,ഗ്രീന്പീസും മറ്റു സ്ഥാപനങ്ങളും കാണിക്കുന്ന കണക്കു പതിനായിരങ്ങുള്ടെതാണ്,ഗ്രീൻപീസും മറ്റ് സംഘടനകളും പതിനായിരക്കണക്കിന് ആ സംഖ്യ രേഖപ്പെടുത്തി.,ഗ്രീൻപീസും മറ്റ് സംഘടനകളും ആ സംഖ്യ പതിനായിരങ്ങളായി കണക്കാക്കുന്നു.,ഗ്രീൻപീസും മറ്റ് സംഘടനകളും ആ സംഖ്യ പതിനായിരങ്ങളാണെന്ന് പറയുന്നു.
Home is a transient concept.,വീട് എന്നത് ഒരു താത്കാലികമായ സങ്കല്പമാണ്,വീട് എന്നത് ക്ഷണികമായ ഒരു ആശയമാണ്.,വീട് ഒരു ക്ഷണികമായ ആശയമാണ്.,വീട് എന്നത് ക്ഷണികമായ ഒരു ആശയമാണ്.
They are dying of sadness.,അവരെല്ലാം ദുഃഖം കാരണം മരിക്കുകയാണ്,അവർ ദുഃഖത്താൽ മരിക്കുന്നു.,അവർ ദുഃഖത്താൽ മരിക്കുകയാണ്.,അവർ ദുഃഖത്താൽ മരിക്കുന്നു.
Who cleans up after us?,നമുക്ക് പിന്നാലെ ആരാണ് വൃത്തിയാക്കുന്നത്? ',ആരാണ് നമുക്ക് ശേഷം വൃത്തിയാക്കുന്നത്?,നമുക്കുശേഷം ആരാണ് വൃത്തിയാക്കുന്നത്?,നമുക്കു ശേഷം ആരാണു ശുദ്ധീകരിക്കുക?
I didn't just ride in the trucks now. I drove the trucks.,"ഇപ്പോൾ ഞാൻ ട്രക്കിൽ യാത്ര ചെയ്യുകയല്ല, അതോടിക്കുകയാണ്",ഞാൻ ഇപ്പോൾ ട്രക്കുകളിൽ വെറുതെ കയറിയില്ല. ഞാൻ ട്രക്കുകൾ ഓടിച്ചു.,ഞാൻ ഇപ്പോൾ ട്രക്കുകളിൽ മാത്രമല്ല സഞ്ചരിച്ചിരുന്നത്. ഞാൻ ട്രക്കുകളാണ് ഓടിച്ചിരുന്നത്.,ഞാൻ ഇപ്പോൾ ട്രക്കുകളിൽ മാത്രം കയറിയിരുന്നില്ല. ട്രക്കുകൾ ഓടിച്ചു.
"I find the stigma especially ironic, because I strongly believe that sanitation workers are the most important labor force on the streets of the city, for three reasons.","ഈ അപമാനം എനിക്ക് വിപരീതാര്ത്ഥകമായി തോന്നി കാരണം ഞാന് വിശ്വസിക്കുന്നത് വൃത്തിയാക്കുന്ന ജോലിക്കാരാണ് പ്രധാനപ്പെട്ട അധ്വാന ശക്തി തെരുവുകളില്, അതിനു 3 കാരണം ഉണ്ട്","മൂന്ന് കാരണങ്ങളാൽ നഗരത്തിലെ തെരുവുകളിലെ ഏറ്റവും പ്രധാനപ്പെട്ട തൊഴിൽ ശക്തിയാണ് ശുചീകരണത്തൊഴിലാളികൾ എന്ന് ഞാൻ ശക്തമായി വിശ്വസിക്കുന്നതിനാൽ, ഈ കളങ്കത്തെ ഞാൻ പ്രത്യേകിച്ച് വിരോധാഭാസമായി കാണുന്നു.",മൂന്ന് കാരണങ്ങളാൽ നഗരത്തിലെ തെരുവുകളിലെ ഏറ്റവും പ്രധാനപ്പെട്ട തൊഴിൽ ശക്തിയാണ് ശുചീകരണ തൊഴിലാളികൾ എന്ന് ഞാൻ ശക്തമായി വിശ്വസിക്കുന്നതിനാൽ ഈ കളങ്കം പ്രത്യേകിച്ചും വിരോധാഭാസമായി ഞാൻ കാണുന്നു.,"ഈ കളങ്കം എനിക്ക് പ്രത്യേകിച്ചും വിരോധാഭാസമായി തോന്നുന്നു, കാരണം മൂന്ന് കാരണങ്ങളാൽ നഗരത്തിലെ തെരുവുകളിലെ ഏറ്റവും പ്രധാനപ്പെട്ട തൊഴൽ ശക്തി ശുചീകരണ തൊഴിലാളികളാണെന്ന് ഞാൻ ശക്തമായി വിശ്വസിക്കുന്നു."
You know when to expect them.,എപ്പോഴാണ് അവരെ പ്രതീക്ഷിക്കെണ്ടെതെന്നു നിങ്ങള്ക്ക് അറിയാം,അവ എപ്പോൾ പ്രതീക്ഷിക്കണമെന്ന് നിങ്ങൾക്കറിയാം.,അവരെ എപ്പോൾ പ്രതീക്ഷിക്കണമെന്ന് നിങ്ങൾക്കറിയാം.,അവർ എപ്പോൾ കാത്തിരിക്കണമെന്ന് നിങ്ങൾക്കറിയാം.
It's a remarkable statistic.,അത് ശ്രദ്ധേയമായ ഒരു കണക്കാണ്,ശ്രദ്ധേയമായ ഒരു സ്ഥിതിവിവരക്കണക്കാണിത്.,ഇത് ശ്രദ്ധേയമായ ഒരു സ്ഥിതിവിവരക്കണക്കാണ്.,അത്ഭുതകരമായ ഒരു സ്ഥിതിവിവരക്കണക്കാണിത്.
"Essentially, for three reasons: calculation, application, and last, and unfortunately least in terms of the time we give it, inspiration.","പ്രധാനമായും 3 കാരണങ്ങളാണ് കണക്കുകൂട്ടല്, പ്രയോഗം, അവസാനത്തേതും നിര്ഭാഗ്യവശാല് നമ്മള് കൊടുക്കുന സമയത്തെ അപേക്ഷിച്ച് അല്പമായത് പ്രചോദനമാണ്.","അടിസ്ഥാനപരമായി, മൂന്ന് കാരണങ്ങളാൽ: കണക്കുകൂട്ടൽ, പ്രയോഗം, അവസാനത്തേത്, നിർഭാഗ്യവശാൽ, ഞങ്ങൾ നൽകുന്ന സമയത്തിൻ്റെ അടിസ്ഥാനത്തിൽ, പ്രചോദനം.","അടിസ്ഥാനപരമായി, മൂന്ന് കാരണങ്ങളാൽഃ കണക്കുകൂട്ടൽ, പ്രയോഗം, അവസാനത്തേത്, നിർഭാഗ്യവശാൽ നമ്മൾ നൽകുന്ന സമയത്തിന്റെ കാര്യത്തിൽ ഏറ്റവും കുറവ്, പ്രചോദനം.","അടിസ്ഥാനപരമായി, മൂന്ന് കാരണങ്ങളാൽഃ കണക്കുകൂട്ടൽ, പ്രയോഗം, അവസാനത്തേത്, നിർഭാഗ്യവശാൽ നമ്മൾ അത് നൽകുന്ന സമയത്തിന്റെ കാര്യത്തിൽ ഏറ്റവും കുറവ്, പ്രചോദനം."
"From the standpoint of calculation, they're as easy to understand as one plus one, which is two.","ഗണനത്തിന്റെ കാഴ് ചപ്പാടിൽ നിന്നും അവ മനസ്സിലാക്കാൻ വളരെഎളുപ്പമാണ് ഒന്നും ഒന്നും രണ്ട്, എന്നപോലെ","കണക്കുകൂട്ടലിൻ്റെ വീക്ഷണകോണിൽ നിന്ന്, അവ ഒന്ന് പ്ലസ് വൺ പോലെ മനസ്സിലാക്കാൻ എളുപ്പമാണ്, അത് രണ്ട് ആണ്.","കണക്കുകൂട്ടലിന്റെ കാഴ്ചപ്പാടിൽ, അവ ഒന്ന് കൂട്ടൽ ഒന്ന് പോലെ മനസ്സിലാക്കാൻ എളുപ്പമാണ്, അതായത് രണ്ട്.","കണ കണ ണ ത്തി ന്റെ വീക്ഷണകോണിൽ നിന്ന്, അവ ഒന്ന് പ്ലസ് വൺ പോലെ മനസ്സിലാക്കാൻ എളുപ്പമാണ്, അത് രണ്ട്."
"Well, on the one hand, it's the sum of the areas of the squares inside it, right?","ശരി, മറ്റൊരു രീതിയിൽ അത് മൊത്തം വിസ്തീർണത്തിന്റെ ആകെത്തുകയാണ് അതിനക്കുതുള്ള സമചതുരങ്ങളുടെ, ശരിയല്ലേ?","ശരി, ഒരു വശത്ത്, ഇത് അതിനുള്ളിലെ ചതുരങ്ങളുടെ വിസ്തീർണ്ണത്തിൻ്റെ ആകെത്തുകയാണ്, അല്ലേ?","ശരി, ഒരു വശത്ത്, അതിനുള്ളിലെ ചതുരങ്ങളുടെ വിസ്തീർണ്ണത്തിന്റെ ആകെത്തുകയാണ്, അല്ലേ?","ശരി, ഒരു വശത്ത്, അതിനുള്ളിലെ ചതുരങ്ങളുടെ വിസ്തീർണ്ണങ്ങളുടെ ആകെത്തുകയാണ്, അല്ലേ?"
"One, two, three, four, I declare a thumb war, and we wrestle, and of course Sunni beats me because she's the best.","ഒന്ന്, രണ്ടു, മൂന്നു, നാലു, ഒരു തള്ളവിരല് യുദ്ദം, അങ്ങനെ നമ്മൾ പോരാടി തീര്ച്ചയായും സണ്ണി എന്നെ തോല്പിച്ചു കാരണം അവളാണ് ഏറ്റവും മികച്ചത്.","ഒന്ന്, രണ്ട്, മൂന്ന്, നാല്, ഞാൻ ഒരു തള്ളവിരൽ യുദ്ധം പ്രഖ്യാപിക്കുന്നു, ഞങ്ങൾ ഗുസ്തി പിടിക്കുന്നു, തീർച്ചയായും സുന്നി എന്നെ തോൽപ്പിക്കുന്നു, കാരണം അവൾ മികച്ചവളാണ്.","ഒന്ന്, രണ്ട്, മൂന്ന്, നാല്, ഞാൻ ഒരു തള്ളവിരൽ യുദ്ധം പ്രഖ്യാപിക്കുന്നു, ഞങ്ങൾ ഗുസ്തി നടത്തുന്നു, തീർച്ചയായും സുന്നി എന്നെ അടിക്കുന്നു, കാരണം അവൾ ഏറ്റവും മികച്ചവളാണ്.","ഒന്ന്, രണ്ട്, മൂന്ന്, നാല്, ഞാൻ ഒരു തംബ് യുദ്ധം പ്രഖ്യാപിക്കുന്നു, ഞങ്ങൾ മല്ലടിക്കുന്നു, തീർച്ചയായും സുന്നി എന്നെ അടിക്കുന്നു, കാരണം അവൾ ഏറ്റവും മികച്ചവളാണ്."
"And in fact, that's what we're going to do right now.",ശരിക്കും പറഞ്ഞാൽ അതാണ് നാം ഇപ്പോൾ ചെയ്യാന് പോകുന്നത്,"വാസ്തവത്തിൽ, ഞങ്ങൾ ഇപ്പോൾ ചെയ്യാൻ പോകുന്നത് അതാണ്.","വാസ്തവത്തിൽ, അതാണ് നമ്മൾ ഇപ്പോൾ ചെയ്യാൻ പോകുന്നത്.","വാസ്തവത്തിൽ, അതാണ് ഞങ്ങൾ ഇപ്പോൾ ചെയ്യാൻ പോകുന്നത്."
"So this is the kind of simple level, right?","ഇത് വളരെ ലളിതമായ നിലയാണ്, ശരി?","അപ്പോൾ ഇത് ലളിതമായ ലെവലാണ്, അല്ലേ?","അപ്പോൾ ഇതൊരു ലളിതമായ തലമാണ്, അല്ലേ?","അപ്പോൾ ഇതൊരു ലളിതമായ തലമാണ്, അല്ലേ?"
And this one's called the Möbius Strip.,ഇതിനെ വിളിക്കുന്നത് 'മോബിയാസ് സ്ട്രിപ്' എന്നാണ്.,ഇതിനെ മൊബിയസ് സ്ട്രിപ്പ് എന്ന് വിളിക്കുന്നു.,ഇതിനെ മോബിയസ് സ്ട്രിപ്പ് എന്ന് വിളിക്കുന്നു.,ഇതിനെ മോബിയസ് സ്ട്രിപ്പ് എന്ന് വിളിക്കുന്നു.
Stand up! It's easier if you stand up.,എഴുന്നേറ്റു നില്ക്കൂ! നിങ്ങൾ എഴുന്നേറ്റു നിന്നാൽ അത് എളുപ്പമാണ്.,എഴുന്നേൽക്കുക! നിങ്ങൾ എഴുന്നേറ്റു നിന്നാൽ എളുപ്പമാണ്.,എഴുന്നേറ്റ് നിൽക്കൂ! എഴുന്നേറ്റ് നിൽക്കുകയാണെങ്കിൽ എളുപ്പമാകും..............................................................................................................................................................................................................................................,എഴുന്നേറ്റു നിൽക്കൂ! എണീറ്റ് നിന്നാൽ എളുപ്പം.
"I will just leave you with this tip, if you want to play again.","ഈ ഒരു സൂചനയോടെ ഞാൻ വിടവാങ്ങുകയാണ്, നിങ്ങള്ക്ക് വീണ്ടും കളിക്കണമെങ്കിൽ",നിങ്ങൾക്ക് വീണ്ടും കളിക്കണമെങ്കിൽ ഈ നുറുങ്ങ് ഞാൻ നിങ്ങൾക്ക് വിട്ടുതരാം.,നിങ്ങൾക്ക് വീണ്ടും കളിക്കാൻ താൽപ്പര്യമുണ്ടെങ്കിൽ ഞാൻ നിങ്ങൾക്ക് ഈ നുറുങ്ങ് നൽകും.....................................................................................................................................................................................................................................,നിങ്ങൾക്ക് വീണ്ടും കളിക്കണമെങ്കിൽ ഈ നുറിപ്പ് ഞാൻ നിങ്ങൾക്ക് വിട്ടുകൊടുക്കും.
It would end up taking 45 minutes to free her from the vehicle.,അവളെ വണ്ടിയില് നിന്ന് പുറത്തെടുക്കാന് 45 മിനുട്ട് വേണ്ടിവന്നു.,അവളെ വാഹനത്തിൽ നിന്ന് മോചിപ്പിക്കാൻ 45 മിനിറ്റ് എടുക്കും.,ഒടുവിൽ അവളെ വാഹനത്തിൽ നിന്ന് മോചിപ്പിക്കാൻ 45 മിനിറ്റ് എടുക്കും.,അവളെ കാറിൽ നിന്ന് മോചിപ്പിക്കാൻ 45 മിനിറ്റ് എടുക്കും.
"when you're in those last moments that it's strictly terror, fear.",നിങ്ങള് ആ അവസാന നിമിഷത്തിലെത്തുമ്പോള് അത് ശരിക്കും ഭയപ്പെടുത്തുന്നതാണ്.,"നിങ്ങൾ ആ അവസാന നിമിഷങ്ങളിൽ ആയിരിക്കുമ്പോൾ അത് കടുത്ത ഭീകരതയാണ്, ഭയമാണ്.","നിങ്ങൾ ആ അവസാന നിമിഷങ്ങളിൽ ആയിരിക്കുമ്പോൾ അത് കർശനമായി ഭീകരതയാണ്, ഭയമാണ്.........................................................................................................................................................................................................................................",നിങ്ങൾ ആ അവസാന നിമിഷങ്ങളിൽ ആയിരിക്കുമ്പോൾ അത് കർശനമായി ഭീകരവും ഭയവുമാണ്.
"I'm an underwater explorer,",ഞാൻ ഒരു ഭുഗർഭ ജല പര്യവേഷകയാണ്,"ഞാൻ ഒരു അണ്ടർവാട്ടർ പര്യവേക്ഷകനാണ്,","ഞാൻ ഒരു അണ്ടർവാട്ടർ എക്സ്പ്ലോററാണ്,,,,...............................................................................................................................................................................................................................................","ഞാൻ അണ്ടർ വാട്ടർ എക്സ്പ്ലോറർ,"
And my voice is the one that's going to teach you about the inside of Mother Earth.,എന്റെ ശബ്ദമാണ് നിങ്ങൾക്ക് പറഞ്ഞു തരുന്നത് ഭൗമാന്തർഭാഗത്തെ പറ്റി,ഭൂമി മാതാവിൻ്റെ ഉള്ളറയെ കുറിച്ച് നിങ്ങളെ പഠിപ്പിക്കാൻ പോകുന്നത് എൻ്റെ ശബ്ദമാണ്.,ഭൂമി മാതാവിൻ്റെ ആന്തരികതയെക്കുറിച്ച് നിങ്ങളെ പഠിപ്പിക്കാൻ പോകുന്ന ശബ്ദമാണ് എൻ്റെ ശബ്ദം...........................................................................................................................................................................................................................................,ഭൂമാതാവിന്റെ ആന്തരികതയെക്കുറിച്ച് നിങ്ങളെ പഠിപ്പിക്കാൻ പോകുന്നത് എന്റെ ശബ്ദമാണ്.
We use a technology called rebreathers.,റീ ബ്രീത്തെർ എന്ന സങ്കേതികവിദ്യയാണ് ഞങ്ങൾ ഉപയോഗികുന്നത്,ഞങ്ങൾ റീബ്രെതേഴ്സ് എന്ന സാങ്കേതികവിദ്യ ഉപയോഗിക്കുന്നു.,റിബ്രീതർസ് എന്ന സാങ്കേതികവിദ്യയാണ് നമ്മൾ ഉപയോഗിക്കുന്നത്..................................................................................................................................................................................................................................................,റീബ്രീത്തർ എന്ന സാങ്കേതിക വിദ്യയാണ് നാം ഉപയോഗപ്പെടുത്തുന്നത്.
Many of these life-forms live in unusual ways.,അസാധാരണമായ വഴികളിലൂടെയാണ് ഇതിൽ മിക്കവയും ജീവിക്കുന്നത്,ഈ ജീവരൂപങ്ങളിൽ പലതും അസാധാരണമായ രീതിയിൽ ജീവിക്കുന്നു.,ഈ ജീവജാലങ്ങളിൽ പലതും അസാധാരണമായ രീതികളിലാണ് ജീവിക്കുന്നത്.................................................................................................................................................................................................................................................,ഈ ജീവജാലങ്ങളിൽ പലതും അസാധാരണമായ രീതിയിലാണ് ജീവിക്കുന്നത്.
The red that you see in this photograph is actually dust from the Sahara Desert.,ഈ ചിത്രത്തിലെ ചുവന്ന ഭാഗം സഹാറ മരുഭൂമിയിലെ മണലാണ്,ഈ ഫോട്ടോയിൽ നിങ്ങൾ കാണുന്ന ചുവപ്പ് യഥാർത്ഥത്തിൽ സഹാറ മരുഭൂമിയിൽ നിന്നുള്ള പൊടിയാണ്.,ഈ ഫോട്ടോയിൽ നിങ്ങൾ കാണുന്ന ചുവപ്പ് യഥാർത്ഥത്തിൽ സഹാറ മരുഭൂമിയിൽ നിന്നുള്ള പൊടിയാണ്.,ഈ ഫോട്ടോയിൽ നിങ്ങൾ കാണുന്ന ചുവപ്പ് യഥാർത്ഥത്തിൽ സഹാറ മരുഭൂമിയിൽ നിന്നുള്ള പൊടിയാണ്.
